Run,Time step,Infections,Exposed,Infectious,Recovered,Dead,ICU full,Peak,Peak time,Peak total,Initial,Home,School,Block,Work,Taxi,Tests,Positive,% Detected,Quarantines,R0,Tracing,TaT
0,269,5554,0,0,5503,51,44,3622,24,4036,17,867,470,557,2369,1274,1315,458,8.24631,4754,1.67673,1,10
1,269,5636,0,0,5619,17,14,3569,24,3962,16,865,495,657,2350,1253,1318,423,7.50532,4286,1.65618,1,10
2,269,5562,0,0,5530,32,30,3667,24,4037,18,857,436,608,2437,1206,1333,438,7.87487,4666,1.67701,1,10
3,269,5560,0,0,5548,12,8,3621,23,4064,28,835,472,569,2379,1277,1338,409,7.35612,4359,1.68464,1,10
4,269,5529,0,0,5481,48,43,3652,22,4067,21,878,395,546,2351,1338,1354,452,8.17508,4290,1.68549,1,10
5,269,5643,0,0,5609,34,31,3656,22,4052,21,871,450,593,2499,1209,1381,450,7.97448,4537,1.68124,1,10
6,269,5616,0,0,5550,66,63,3662,22,4167,20,836,474,561,2424,1301,1381,456,8.11966,4703,1.71438,1,10
7,269,5497,0,0,5462,35,34,3626,23,4105,21,862,407,546,2414,1247,1301,428,7.78607,4420,1.69635,1,10
8,269,5584,0,0,5541,43,39,3679,24,3994,15,913,424,552,2430,1250,1378,466,8.34527,4949,1.665,1,10
9,269,5459,0,0,5422,37,33,3599,24,3961,17,825,416,544,2456,1201,1322,430,7.8769,4583,1.6559,1,10
10,269,5590,0,0,5561,29,25,3649,23,4007,22,763,492,615,2436,1262,1329,444,7.94275,4503,1.66861,1,10
11,269,5609,0,0,5566,43,36,3667,25,4144,11,830,473,587,2434,1274,1363,442,7.88019,4558,1.70765,1,10
12,269,5505,0,0,5489,16,14,3653,24,4048,16,805,410,583,2443,1248,1385,477,8.66485,4739,1.68011,1,10
13,269,5542,0,0,5508,34,32,3618,24,4134,18,818,470,571,2459,1206,1353,455,8.21003,4464,1.70474,1,10
14,269,5530,0,0,5484,46,42,3467,24,3901,20,884,491,563,2284,1288,1313,433,7.83002,4530,1.63961,1,10
15,269,5588,0,0,5554,34,33,3642,23,4099,18,865,442,539,2437,1287,1348,461,8.24982,4715,1.69463,1,10
16,269,5614,0,0,5604,10,5,3607,24,4082,19,867,467,571,2449,1241,1362,456,8.12255,4641,1.68976,1,10
17,269,5657,0,0,5613,44,39,3722,22,4051,21,850,425,602,2535,1224,1397,464,8.20223,4803,1.68095,1,10
18,269,5522,0,0,5480,42,37,3633,23,4033,24,851,462,555,2407,1223,1336,460,8.33032,4741,1.67588,1,10
19,269,5610,0,0,5544,66,63,3650,21,3989,16,907,478,547,2428,1234,1431,469,8.36007,4976,1.66362,1,10
20,269,5526,0,0,5498,28,26,3550,22,3923,22,878,484,571,2339,1232,1310,449,8.12523,4816,1.64555,1,10
21,269,5557,0,0,5521,36,32,3575,23,3972,21,866,465,575,2390,1240,1347,477,8.58377,4914,1.65893,1,10
22,269,5556,0,0,5530,26,22,3655,24,4112,14,864,384,596,2404,1294,1392,451,8.11735,4557,1.69837,1,10
23,269,5723,0,0,5701,22,20,3665,24,4037,17,910,526,588,2470,1212,1389,464,8.10764,4839,1.67701,1,10
24,269,5695,0,0,5653,42,37,3660,22,3989,25,883,481,592,2461,1253,1342,467,8.20018,4917,1.66362,1,10
25,269,5651,0,0,5622,29,24,3702,23,4111,22,889,465,600,2438,1237,1383,483,8.54716,4895,1.69808,1,10
26,269,5501,0,0,5468,33,29,3553,24,3933,14,840,444,577,2358,1268,1391,448,8.14397,4546,1.64826,1,10
27,269,5557,0,0,5528,29,24,3607,22,4078,17,844,445,571,2417,1263,1338,451,8.11589,4575,1.68862,1,10
28,269,5607,0,0,5557,50,46,3721,23,4221,21,790,385,639,2522,1250,1351,475,8.47155,4882,1.7304,1,10
29,269,5474,0,0,5443,31,28,3620,21,4032,28,843,416,522,2407,1258,1319,438,8.00146,4739,1.6756,1,10
30,269,5632,0,0,5611,21,19,3653,23,4081,26,877,439,556,2487,1247,1446,482,8.55824,4884,1.68947,1,10
31,269,5556,0,0,5489,67,63,3642,22,4085,22,831,486,563,2410,1244,1336,455,8.18934,4738,1.69062,1,10
32,269,5596,0,0,5553,43,38,3632,23,4100,22,831,469,578,2390,1306,1345,461,8.23803,4754,1.69492,1,10
33,269,5661,0,0,5630,31,27,3625,24,4002,15,890,467,578,2458,1253,1312,412,7.27787,4238,1.66722,1,10
34,269,5617,0,0,5587,30,29,3665,22,4098,26,853,462,572,2403,1301,1366,451,8.0292,4592,1.69434,1,10
35,269,5626,0,0,5611,15,12,3680,23,4073,14,883,457,560,2473,1239,1399,455,8.08745,4598,1.68719,1,10
36,269,5551,0,0,5534,17,14,3585,23,3945,22,881,456,567,2405,1220,1318,401,7.22392,4522,1.65153,1,10
37,269,5532,0,0,5482,50,46,3674,20,4025,25,826,426,543,2470,1242,1320,461,8.33333,4646,1.67364,1,10
38,269,5647,0,0,5635,12,9,3638,28,4099,11,879,414,647,2380,1316,1396,462,8.18134,4728,1.69463,1,10
39,269,5575,0,0,5539,36,35,3654,25,4097,17,828,443,585,2452,1250,1315,462,8.287,4611,1.69405,1,10
40,269,5710,0,0,5684,26,21,3731,23,4130,20,898,472,563,2517,1240,1434,478,8.37128,4759,1.70358,1,10
41,269,5563,0,0,5528,35,31,3569,23,4038,25,851,481,582,2313,1311,1317,449,8.07118,4555,1.67729,1,10
42,269,5590,0,0,5557,33,31,3611,23,3971,16,892,444,554,2449,1235,1325,413,7.38819,4439,1.65865,1,10
43,269,5649,0,0,5612,37,33,3703,24,4100,10,840,439,605,2429,1326,1392,469,8.30235,4590,1.69492,1,10
44,269,5557,0,0,5536,21,17,3612,23,4023,21,852,435,576,2337,1336,1373,477,8.58377,4968,1.67308,1,10
45,269,5484,0,0,5463,21,19,3613,24,4046,15,785,394,595,2453,1242,1340,456,8.3151,4544,1.67954,1,10
46,269,5515,0,0,5459,56,51,3647,22,3987,26,859,364,550,2427,1289,1362,512,9.28377,4740,1.66306,1,10
47,269,5667,0,0,5642,25,22,3748,22,4204,20,827,449,558,2502,1311,1392,458,8.08188,4669,1.72533,1,10
48,269,5675,0,0,5630,45,41,3645,22,4066,16,891,465,590,2375,1338,1375,445,7.84141,4632,1.6852,1,10
49,269,5552,0,0,5521,31,26,3622,24,4074,17,805,462,559,2407,1302,1301,421,7.58285,4154,1.68748,1,10
50,269,5642,0,0,5616,26,21,3576,23,4018,22,898,479,602,2348,1293,1384,441,7.81638,4532,1.67168,1,10
51,269,5681,0,0,5641,40,37,3693,30,4071,15,837,470,589,2540,1230,1368,463,8.14997,4713,1.68663,1,10
