Run,Time step,Infections,Exposed,Infectious,Recovered,Dead,ICU full,Peak,Peak time,Peak total,Initial,Home,School,Block,Work,Taxi,Tests,Positive,% Detected,Quarantines,R0,Tracing,TaT
0,269,4753,0,0,4717,36,36,3541,22,3930,16,598,185,328,2335,1291,12189,3888,81.801,12809,1.64745,1,4
1,269,4817,0,0,4775,42,34,3599,23,3984,11,571,222,379,2415,1219,12809,4050,84.0772,13349,1.66223,1,4
2,269,4879,0,0,4847,32,31,3595,24,4069,22,589,220,367,2391,1290,12436,4000,81.984,13111,1.68606,1,4
3,269,4741,0,0,4693,48,42,3572,24,3942,18,533,181,351,2434,1224,12299,3961,83.5478,12951,1.65071,1,4
4,269,4779,0,0,4738,41,38,3575,23,3982,16,545,178,333,2461,1246,12121,3884,81.2722,12711,1.66168,1,4
5,269,4698,0,0,4681,17,15,3515,26,3891,15,557,189,369,2338,1230,12363,3923,83.5036,12883,1.63693,1,4
6,269,4830,0,0,4807,23,21,3681,23,4097,17,559,186,328,2470,1270,12469,4037,83.5818,13087,1.69405,1,4
7,269,4843,0,0,4814,29,26,3591,23,3988,20,592,205,335,2406,1285,12465,4040,83.4194,13049,1.66334,1,4
8,269,4812,0,0,4767,45,44,3671,23,4063,13,618,165,325,2449,1242,12085,4007,83.271,12851,1.68435,1,4
9,269,4748,0,0,4721,27,24,3600,22,4050,17,547,171,336,2409,1268,11809,3900,82.1398,12489,1.68067,1,4
10,269,4835,0,0,4787,48,46,3570,22,4019,34,597,206,365,2395,1238,11927,3894,80.5377,12404,1.67196,1,4
11,269,4865,0,0,4824,41,40,3557,22,3978,31,584,216,375,2380,1279,12246,4045,83.1449,12969,1.66058,1,4
12,269,4804,0,0,4780,24,22,3633,25,4189,12,532,179,330,2473,1278,12057,3949,82.2023,12655,1.72087,1,4
13,269,4769,0,0,4758,11,8,3609,22,4011,21,534,198,327,2383,1306,12675,4065,85.238,13340,1.66973,1,4
14,269,4767,0,0,4743,24,20,3591,24,4041,16,546,215,348,2412,1230,13154,4120,86.4275,13609,1.67813,1,4
15,269,4819,0,0,4788,31,27,3564,23,4019,16,590,212,348,2402,1251,12801,4070,84.4574,13333,1.67196,1,4
16,269,4773,0,0,4732,41,37,3585,24,3931,16,553,174,336,2399,1295,12002,3928,82.2962,12604,1.64772,1,4
17,269,4801,0,0,4769,32,27,3609,22,4066,19,540,193,336,2429,1284,12568,4022,83.7742,13273,1.6852,1,4
18,269,4682,0,0,4656,26,22,3594,22,3950,21,529,169,356,2350,1257,11865,3811,81.3968,12365,1.65289,1,4
19,269,4725,0,0,4689,36,33,3553,24,3984,19,543,198,332,2390,1243,12269,3958,83.7672,12957,1.66223,1,4
20,269,4829,0,0,4799,30,25,3614,21,4059,32,539,223,349,2436,1250,12166,3981,82.4394,12830,1.68322,1,4
21,269,4754,0,0,4732,22,21,3626,22,4020,16,535,171,332,2452,1248,12254,3982,83.761,12830,1.67224,1,4
22,269,4703,0,0,4648,55,51,3523,23,3869,20,545,192,331,2392,1223,12278,3936,83.6913,12940,1.63106,1,4
23,269,4662,0,0,4642,20,19,3513,22,3887,16,514,176,332,2399,1225,11827,3850,82.5826,12478,1.63586,1,4
24,269,4764,0,0,4741,23,17,3523,24,4011,23,581,193,318,2448,1201,12946,4100,86.0621,13511,1.66973,1,4
25,269,4897,0,0,4856,41,38,3667,22,4110,18,615,184,356,2465,1259,12280,4111,83.9494,13005,1.69779,1,4
26,269,4722,0,0,4672,50,49,3527,24,3929,18,536,185,328,2403,1252,12770,3987,84.4346,13318,1.64718,1,4
27,269,4805,0,0,4784,21,16,3617,24,4078,17,547,152,361,2406,1322,11645,3920,81.5817,12264,1.68862,1,4
28,269,4789,0,0,4751,38,33,3612,22,3973,23,576,177,341,2470,1202,12178,3968,82.8565,12813,1.6592,1,4
