Run,Time step,Infections,Exposed,Infectious,Recovered,Dead,ICU full,Peak,Peak time,Peak total,Initial,Home,School,Block,Work,Taxi,Tests,Positive,% Detected,Quarantines,R0,Tracing,TaT
0,269,5829,0,0,5799,30,27,3629,23,4074,18,966,564,591,2444,1246,1470,1106,18.9741,0,1.68748,0,3
1,269,5883,0,0,5860,23,18,3621,25,4041,18,973,588,646,2331,1327,1478,1116,18.9699,0,1.67813,0,3
2,269,5916,0,0,5874,42,37,3624,22,4016,22,962,597,652,2457,1226,1503,1152,19.4726,0,1.67112,0,3
3,269,5855,0,0,5827,28,26,3666,23,4019,19,954,573,619,2394,1296,1441,1096,18.719,0,1.67196,0,3
4,269,5908,0,0,5889,19,17,3741,21,4093,25,890,589,667,2499,1238,1475,1129,19.1097,0,1.69291,0,3
5,269,5783,0,0,5750,33,31,3622,21,3959,17,934,582,586,2423,1241,1458,1123,19.419,0,1.65536,0,3
6,269,5785,0,0,5748,37,36,3571,22,3922,15,915,596,630,2416,1213,1460,1117,19.3086,0,1.64528,0,3
7,269,5768,0,0,5739,29,25,3594,23,3986,21,861,600,610,2388,1288,1458,1106,19.1748,0,1.66279,0,3
8,269,5915,0,0,5870,45,42,3711,23,4142,27,933,579,685,2385,1306,1413,1052,17.7853,0,1.70707,0,3
9,269,5855,0,0,5841,14,11,3659,22,4155,26,938,579,618,2379,1315,1501,1139,19.4535,0,1.71086,0,3
10,269,5780,0,0,5747,33,28,3582,21,3973,21,937,575,620,2361,1266,1420,1116,19.308,0,1.6592,0,3
11,269,5799,0,0,5782,17,13,3674,25,4086,23,897,559,619,2443,1258,1458,1096,18.8998,0,1.6909,0,3
12,269,5849,0,0,5808,41,39,3651,23,4125,22,888,610,582,2438,1309,1451,1078,18.4305,0,1.70213,0,3
13,269,5888,0,0,5833,55,52,3689,23,4139,14,879,590,649,2463,1293,1371,1008,17.1196,0,1.70619,0,3
14,269,5906,0,0,5852,54,46,3719,23,4154,22,953,576,617,2476,1262,1442,1094,18.5235,0,1.71057,0,3
15,269,5732,0,0,5676,56,51,3620,23,4056,17,883,507,645,2466,1214,1382,1070,18.6671,0,1.68237,0,3
16,269,5948,0,0,5912,36,33,3669,23,4147,28,967,645,659,2394,1255,1454,1096,18.4264,0,1.70853,0,3
