Run,Time step,Infections,Exposed,Infectious,Recovered,Dead,ICU full,Peak,Peak time,Peak total,Initial,Home,School,Block,Work,Taxi,Tests,Positive,% Detected,Quarantines,R0,Tracing,TaT
0,269,5315,0,0,5265,50,46,3619,24,4027,29,774,329,501,2406,1276,1281,735,13.8288,6476,1.6742,1,7
1,269,5315,0,0,5287,28,25,3590,22,3993,30,714,370,511,2395,1295,1281,738,13.8852,6798,1.66472,1,7
2,269,5398,0,0,5367,31,24,3665,22,4026,14,816,327,510,2475,1256,1335,748,13.857,6767,1.67392,1,7
3,269,5198,0,0,5165,33,31,3503,24,3971,20,737,347,501,2373,1220,1279,760,14.621,6764,1.65865,1,7
4,269,5276,0,0,5249,27,23,3590,28,3994,14,779,346,487,2415,1235,1246,697,13.2108,6569,1.665,1,7
5,269,5164,0,0,5139,25,22,3503,22,3947,32,755,325,464,2279,1309,1280,710,13.749,6411,1.65207,1,7
6,269,5209,0,0,5188,21,15,3578,22,4025,23,749,338,473,2343,1283,1255,713,13.6878,6511,1.67364,1,7
7,269,5328,0,0,5283,45,40,3608,22,4003,12,766,316,550,2385,1299,1282,727,13.6449,6635,1.6675,1,7
8,269,5358,0,0,5326,32,29,3630,23,4024,17,765,376,507,2394,1299,1328,784,14.6323,6827,1.67336,1,7
9,269,5248,0,0,5219,29,26,3595,22,4005,17,770,329,452,2379,1301,1277,726,13.8338,6499,1.66806,1,7
10,269,5433,0,0,5406,27,24,3687,24,4035,19,785,380,523,2480,1246,1298,717,13.1971,6695,1.67645,1,7
11,269,5327,0,0,5287,40,34,3695,22,4188,22,745,298,525,2404,1333,1305,722,13.5536,6305,1.72058,1,7
12,269,5315,0,0,5278,37,32,3623,22,4082,28,731,358,542,2394,1262,1248,721,13.5654,6765,1.68976,1,7
13,269,5269,0,0,5244,25,21,3707,22,4108,26,741,280,508,2464,1250,1284,737,13.9875,6677,1.69722,1,7
14,269,5294,0,0,5257,37,35,3623,22,4090,21,731,332,499,2447,1264,1322,738,13.9403,6566,1.69205,1,7
15,269,5308,0,0,5274,34,28,3636,26,4099,16,733,351,532,2377,1299,1293,728,13.7151,6677,1.69463,1,7
16,269,5329,0,0,5300,29,26,3648,24,4119,21,788,357,513,2414,1236,1252,706,13.2483,6470,1.70039,1,7
17,269,5460,0,0,5433,27,25,3712,22,4176,16,808,349,507,2481,1299,1401,767,14.0476,6715,1.71703,1,7
18,269,5260,0,0,5225,35,31,3572,23,3922,15,771,330,511,2417,1216,1258,702,13.346,6537,1.64528,1,7
19,269,5372,0,0,5317,55,53,3650,21,3960,16,779,360,515,2469,1233,1303,748,13.9241,6850,1.65563,1,7
20,269,5322,0,0,5280,42,37,3630,23,3977,22,764,380,511,2395,1250,1298,728,13.6791,6674,1.6603,1,7
21,269,5375,0,0,5342,33,31,3617,24,4120,17,801,378,532,2441,1206,1345,774,14.4,7120,1.70068,1,7
22,269,5414,0,0,5389,25,19,3657,23,4009,19,812,387,538,2441,1217,1282,696,12.8556,6543,1.66917,1,7
23,269,5411,0,0,5367,44,40,3627,23,4060,18,827,349,514,2464,1239,1306,744,13.7498,6521,1.6835,1,7
24,269,5338,0,0,5327,11,8,3656,23,4091,26,760,354,516,2423,1259,1304,740,13.8629,6631,1.69233,1,7
25,269,5433,0,0,5385,48,43,3690,23,4149,18,790,382,517,2450,1276,1301,764,14.0622,6658,1.70911,1,7
26,269,5304,0,0,5282,22,18,3537,23,4037,18,777,352,543,2331,1283,1261,740,13.9517,6845,1.67701,1,7
27,269,5244,0,0,5219,25,20,3552,22,3949,21,777,324,535,2340,1247,1284,716,13.6537,6256,1.65262,1,7
28,269,5272,0,0,5236,36,36,3532,21,3955,23,798,294,514,2368,1275,1277,717,13.6002,6524,1.65426,1,7
29,269,5307,0,0,5266,41,38,3571,21,3946,21,748,384,514,2448,1192,1253,704,13.2655,6721,1.6518,1,7
30,269,5475,0,0,5421,54,48,3711,26,4174,18,761,357,537,2541,1261,1346,762,13.9178,6891,1.71644,1,7
31,269,5334,0,0,5288,46,38,3627,23,3976,14,771,373,509,2386,1281,1293,737,13.817,6843,1.66003,1,7
32,269,5319,0,0,5299,20,18,3669,24,4006,10,775,343,467,2513,1211,1326,757,14.232,7034,1.66834,1,7
33,269,5353,0,0,5299,54,48,3664,22,4083,20,777,339,514,2475,1228,1318,743,13.8801,6699,1.69005,1,7
34,269,5350,0,0,5309,41,35,3645,21,4079,22,743,345,539,2387,1314,1281,708,13.2336,6454,1.6889,1,7
35,269,5229,0,0,5195,34,31,3611,24,4021,16,784,296,516,2422,1195,1235,707,13.5207,6467,1.67252,1,7
36,269,5312,0,0,5294,18,17,3712,25,4150,14,754,309,509,2486,1240,1300,695,13.0836,6381,1.7094,1,7
37,269,5256,0,0,5225,31,30,3585,23,4096,26,752,353,476,2317,1332,1357,762,14.4977,6699,1.69377,1,7
38,269,5343,0,0,5319,24,22,3617,23,3994,23,748,348,544,2455,1225,1289,731,13.6815,6698,1.665,1,7
39,269,5216,0,0,5191,25,21,3619,24,4109,18,754,306,469,2442,1227,1259,718,13.7653,6553,1.6975,1,7
40,269,5244,0,0,5211,33,33,3633,29,4094,15,752,264,486,2486,1241,1310,728,13.8825,6451,1.69319,1,7
41,269,5437,0,0,5405,32,30,3677,23,4089,18,813,379,515,2432,1280,1309,712,13.0955,6585,1.69176,1,7
42,269,5354,0,0,5315,39,36,3633,23,3967,16,795,354,511,2478,1200,1287,696,12.9996,6422,1.65755,1,7
43,269,5365,0,0,5334,31,28,3623,22,4028,18,743,353,554,2422,1275,1266,755,14.0727,6694,1.67448,1,7
44,269,5307,0,0,5272,35,32,3620,26,4154,18,731,371,483,2473,1231,1314,751,14.1511,6690,1.71057,1,7
45,269,5315,0,0,5266,49,44,3618,23,4016,17,740,359,481,2441,1277,1270,731,13.7535,6685,1.67112,1,7
46,269,5376,0,0,5341,35,30,3629,21,4172,25,791,317,575,2400,1268,1340,763,14.1927,6595,1.71585,1,7
47,269,5334,0,0,5313,21,19,3608,22,3994,20,757,348,517,2394,1298,1328,756,14.1732,6711,1.665,1,7
48,269,5322,0,0,5277,45,40,3609,22,3936,22,758,380,496,2395,1271,1308,747,14.0361,6801,1.64908,1,7
49,269,5479,0,0,5447,32,29,3701,21,4046,23,816,407,518,2440,1275,1320,730,13.3236,6794,1.67954,1,7
50,269,5356,0,0,5313,43,42,3649,23,4112,14,782,334,512,2470,1244,1239,712,13.2935,6528,1.69837,1,7
51,269,5342,0,0,5301,41,40,3615,24,4039,16,760,389,517,2431,1229,1241,713,13.3471,6643,1.67757,1,7
52,269,5331,0,0,5287,44,41,3607,24,4081,25,756,362,493,2467,1228,1307,744,13.9561,6826,1.68947,1,7
53,269,5359,0,0,5320,39,37,3684,23,4038,21,766,345,498,2434,1295,1308,756,14.1071,6926,1.67729,1,7
54,269,5239,0,0,5200,39,36,3639,21,3985,23,741,343,513,2464,1155,1275,731,13.953,6628,1.66251,1,7
55,269,5293,0,0,5266,27,21,3610,26,4029,20,789,339,478,2414,1253,1337,762,14.3964,6743,1.67476,1,7
56,269,5230,0,0,5181,49,47,3523,21,3886,27,793,363,478,2324,1245,1273,724,13.8432,6597,1.63559,1,7
57,269,5332,0,0,5287,45,40,3618,22,3959,23,774,351,547,2381,1256,1349,752,14.1035,6689,1.65536,1,7
58,269,5340,0,0,5309,31,27,3571,23,3974,19,812,372,482,2395,1260,1292,740,13.8577,6718,1.65948,1,7
59,269,5139,0,0,5109,30,28,3485,23,3916,21,719,326,511,2299,1263,1265,718,13.9716,6364,1.64366,1,7
60,269,5268,0,0,5234,34,32,3583,23,3961,17,753,343,513,2380,1262,1249,706,13.4017,6429,1.6559,1,7
