Run,Time step,Infections,Exposed,Infectious,Recovered,Dead,ICU full,Peak,Peak time,Peak total,Initial,Home,School,Block,Work,Taxi,Tests,Positive,% Detected,Quarantines,R0,Tracing,TaT
0,269,5903,0,0,5860,43,38,3545,23,4058,20,932,618,684,2413,1236,1469,788,13.3491,0,1.68294,0,7
1,269,5810,0,0,5790,20,17,3649,25,4139,10,909,537,632,2457,1265,1383,791,13.6145,0,1.70619,0,7
2,269,5836,0,0,5793,43,36,3652,22,4035,17,957,557,639,2405,1261,1476,857,14.6847,0,1.67645,0,7
3,269,5999,0,0,5956,43,41,3728,22,4158,13,1016,611,632,2436,1291,1471,827,13.7856,0,1.71174,0,7
4,269,5870,0,0,5827,43,38,3677,22,4083,25,884,600,636,2431,1294,1458,843,14.3612,0,1.69005,0,7
5,269,5842,0,0,5785,57,50,3619,23,4155,23,902,612,649,2393,1263,1384,758,12.975,0,1.71086,0,7
6,269,5933,0,0,5899,34,31,3605,22,4097,26,936,662,673,2366,1270,1478,823,13.8716,0,1.69405,0,7
7,269,5829,0,0,5782,47,41,3589,25,4084,14,936,563,645,2395,1276,1367,763,13.0897,0,1.69033,0,7
8,269,5862,0,0,5834,28,24,3654,22,4081,19,954,598,635,2400,1256,1417,804,13.7155,0,1.68947,0,7
9,269,5715,0,0,5675,40,37,3614,21,3966,27,878,568,606,2365,1271,1366,773,13.5258,0,1.65728,0,7
10,269,5851,0,0,5796,55,53,3676,22,4053,29,916,518,664,2440,1284,1349,744,12.7158,0,1.68152,0,7
11,269,5904,0,0,5887,17,12,3586,23,4052,20,923,666,653,2391,1251,1477,867,14.685,0,1.68124,0,7
12,269,5755,0,0,5730,25,23,3603,24,4033,15,944,590,585,2397,1224,1438,822,14.2832,0,1.67588,0,7
13,269,5986,0,0,5935,51,49,3761,22,4088,21,941,625,622,2500,1277,1391,769,12.8466,0,1.69147,0,7
14,269,5905,0,0,5867,38,34,3716,23,4109,16,950,569,643,2437,1290,1429,788,13.3446,0,1.6975,0,7
15,269,5943,0,0,5922,21,17,3607,26,4080,22,948,611,673,2444,1245,1466,811,13.6463,0,1.68919,0,7
16,269,5901,0,0,5865,36,34,3744,22,4119,24,922,587,641,2487,1240,1442,818,13.8621,0,1.70039,0,7
17,269,5811,0,0,5778,33,26,3675,22,4051,15,934,568,608,2441,1245,1436,826,14.2144,0,1.68095,0,7
18,269,5895,0,0,5861,34,28,3582,25,4035,23,933,647,684,2342,1266,1395,765,12.9771,0,1.67645,0,7
19,269,5884,0,0,5858,26,20,3667,23,4064,18,935,571,643,2415,1302,1462,832,14.14,0,1.68464,0,7
20,269,5909,0,0,5870,39,35,3619,24,4147,16,990,618,622,2417,1246,1409,798,13.5048,0,1.70853,0,7
21,269,5894,0,0,5850,44,41,3669,22,4152,19,967,562,630,2475,1241,1426,787,13.3526,0,1.70999,0,7
22,269,5997,0,0,5939,58,51,3670,22,4047,22,1014,624,663,2385,1289,1395,778,12.9732,0,1.67983,0,7
23,269,5981,0,0,5967,14,10,3656,24,4034,15,956,667,649,2425,1269,1537,870,14.5461,0,1.67616,0,7
24,269,5827,0,0,5786,41,37,3623,21,4032,20,930,594,622,2431,1230,1458,789,13.5404,0,1.6756,0,7
25,269,5822,0,0,5789,33,30,3645,21,4013,25,875,608,567,2458,1289,1444,801,13.7582,0,1.67029,0,7
