Run,Time step,Infections,Exposed,Infectious,Recovered,Dead,ICU full,Peak,Peak time,Peak total,Initial,Home,School,Block,Work,Taxi,Tests,Positive,% Detected,Quarantines,R0,Tracing,TaT
0,269,5964,0,0,5939,25,20,3712,23,4146,20,967,570,678,2406,1323,1462,928,15.56,0,1.70823,0,6
1,269,5819,0,0,5797,22,19,3640,22,4066,22,903,603,598,2426,1267,1434,897,15.415,0,1.6852,0,6
2,269,6057,0,0,6009,48,45,3784,22,4225,26,940,651,639,2545,1256,1458,958,15.8164,0,1.7316,0,6
3,269,5910,0,0,5871,39,36,3628,21,3996,20,964,614,675,2341,1296,1357,860,14.5516,0,1.66556,0,6
4,269,5939,0,0,5898,41,36,3638,23,4086,20,986,602,652,2431,1248,1433,913,15.373,0,1.6909,0,6
5,269,5812,0,0,5769,43,42,3667,22,4107,24,899,548,655,2424,1262,1387,908,15.6228,0,1.69693,0,6
6,269,5815,0,0,5785,30,26,3660,22,4067,24,913,608,600,2365,1305,1442,923,15.8727,0,1.68549,0,6
7,269,5738,0,0,5689,49,46,3504,24,3953,19,952,572,608,2358,1229,1422,915,15.9463,0,1.65371,0,6
8,269,5824,0,0,5787,37,31,3623,22,3960,27,916,558,651,2465,1207,1402,876,15.0412,0,1.65563,0,6
9,269,5825,0,0,5790,35,29,3633,23,4074,14,910,595,613,2434,1259,1445,935,16.0515,0,1.68748,0,6
10,269,5741,0,0,5703,38,35,3563,21,4000,28,888,550,625,2383,1267,1425,934,16.2689,0,1.66667,0,6
11,269,5731,0,0,5679,52,47,3613,24,4078,19,847,596,614,2380,1275,1473,953,16.6289,0,1.68862,0,6
12,269,5962,0,0,5913,49,46,3797,23,4164,22,924,585,646,2517,1268,1411,909,15.2466,0,1.7135,0,6
13,269,5843,0,0,5799,44,39,3516,21,3906,18,899,624,636,2379,1287,1405,894,15.3004,0,1.64096,0,6
14,269,5725,0,0,5696,29,25,3603,22,4021,16,891,542,610,2461,1205,1408,907,15.8428,0,1.67252,0,6
15,269,5865,0,0,5816,49,48,3671,24,4092,19,914,573,615,2529,1215,1485,959,16.3512,0,1.69262,0,6
16,269,5766,0,0,5735,31,28,3587,24,4006,22,902,590,579,2382,1291,1374,876,15.1925,0,1.66834,0,6
17,269,5939,0,0,5888,51,47,3576,24,4007,16,939,661,672,2313,1338,1469,961,16.1812,0,1.66861,0,6
18,269,5891,0,0,5854,37,33,3684,22,4042,23,909,614,628,2483,1234,1416,899,15.2606,0,1.67842,0,6
19,269,5815,0,0,5789,26,19,3668,21,3970,17,896,560,646,2443,1253,1433,921,15.8383,0,1.65837,0,6
20,269,5852,0,0,5822,30,26,3642,23,4058,21,942,577,650,2425,1237,1409,877,14.9863,0,1.68294,0,6
21,269,5763,0,0,5715,48,46,3631,21,4029,24,912,573,564,2407,1283,1383,900,15.6169,0,1.67476,0,6
22,269,5898,0,0,5825,73,64,3577,24,4116,23,950,695,624,2312,1294,1443,952,16.1411,0,1.69952,0,6
23,269,5693,0,0,5669,24,23,3548,24,4008,18,875,551,671,2371,1207,1441,912,16.0197,0,1.66889,0,6
24,269,5949,0,0,5927,22,19,3588,23,3972,17,989,637,678,2399,1229,1439,948,15.9355,0,1.65893,0,6
25,269,5793,0,0,5747,46,41,3656,21,4090,26,886,538,653,2443,1247,1416,917,15.8294,0,1.69205,0,6
26,269,5837,0,0,5806,31,26,3644,22,3985,20,893,637,601,2398,1288,1391,868,14.8707,0,1.66251,0,6
27,269,5808,0,0,5760,48,42,3597,25,4027,18,857,594,671,2402,1266,1459,916,15.7713,0,1.6742,0,6
28,269,5887,0,0,5848,39,31,3632,24,4102,11,930,598,687,2442,1219,1545,990,16.8167,0,1.69549,0,6
