Run,Time step,Infections,Exposed,Infectious,Recovered,Dead,ICU full,Peak,Peak time,Peak total,Initial,Home,School,Block,Work,Taxi,Tests,Positive,% Detected,Quarantines,R0,Tracing,TaT
0,269,4474,0,0,4442,32,29,3500,26,4011,12,409,128,250,2360,1315,12337,3695,82.5883,12713,1.66973,1,2
1,269,4499,0,0,4469,30,27,3539,22,3939,25,426,128,251,2415,1254,12114,3700,82.2405,12578,1.64989,1,2
2,269,4424,0,0,4396,28,26,3472,23,3832,19,406,137,229,2485,1148,11733,3541,80.0407,12097,1.62127,1,2
3,269,4471,0,0,4452,19,15,3505,23,3948,13,406,146,226,2407,1273,11953,3691,82.5542,12346,1.65235,1,2
4,269,4264,0,0,4240,24,21,3348,22,3612,20,415,110,222,2314,1183,11737,3469,81.3555,12009,1.56544,1,2
5,269,4476,0,0,4448,28,26,3483,25,3785,10,404,141,259,2436,1226,11973,3664,81.8588,12436,1.60901,1,2
6,269,4403,0,0,4375,28,25,3535,21,3836,16,394,141,208,2419,1225,11967,3551,80.6496,12226,1.62232,1,2
7,269,4530,0,0,4495,35,33,3547,23,3935,17,421,179,233,2427,1253,12309,3759,82.9801,12686,1.6488,1,2
8,269,4452,0,0,4432,20,18,3512,22,3863,20,427,139,257,2445,1164,11667,3585,80.5256,12013,1.62946,1,2
9,269,4413,0,0,4396,17,17,3517,23,3887,17,391,95,240,2424,1246,11740,3584,81.2146,12168,1.63586,1,2
10,269,4443,0,0,4412,31,28,3501,23,3836,17,418,146,238,2435,1189,11637,3618,81.4315,12092,1.62232,1,2
11,269,4421,0,0,4404,17,15,3524,21,3994,32,396,107,236,2429,1221,11193,3512,79.439,11640,1.665,1,2
12,269,4398,0,0,4334,64,59,3413,22,3729,13,418,139,212,2415,1201,11742,3467,78.8313,12042,1.59464,1,2
13,269,4417,0,0,4373,44,40,3566,21,3852,20,421,103,197,2436,1240,11536,3585,81.1637,11945,1.62655,1,2
14,269,4423,0,0,4390,33,31,3452,22,3890,23,411,155,255,2429,1150,12000,3522,79.6292,12305,1.63666,1,2
15,269,4329,0,0,4311,18,15,3500,21,3816,24,365,98,223,2505,1114,11649,3491,80.6422,11948,1.61708,1,2
16,269,4461,0,0,4438,23,21,3542,23,3898,18,420,139,258,2347,1279,11768,3607,80.8563,12144,1.63881,1,2
17,269,4473,0,0,4446,27,23,3606,22,3953,24,377,112,233,2480,1247,11664,3586,80.1699,12201,1.65371,1,2
18,269,4332,0,0,4305,27,24,3450,22,3809,24,392,113,195,2395,1213,10970,3306,76.3158,11251,1.61525,1,2
19,269,4282,0,0,4264,18,16,3340,21,3669,18,362,115,218,2401,1168,12318,3583,83.6759,12613,1.57953,1,2
20,269,4375,0,0,4344,31,28,3494,23,3911,23,395,105,216,2422,1214,11408,3504,80.0914,11774,1.64231,1,2
21,269,4525,0,0,4491,34,31,3664,22,4009,14,445,95,248,2474,1249,11390,3596,79.4696,11755,1.66917,1,2
22,269,4472,0,0,4437,35,30,3500,21,3890,19,432,144,254,2365,1258,12260,3671,82.0886,12687,1.63666,1,2
