Run,Time step,Infections,Exposed,Infectious,Recovered,Dead,ICU full,Peak,Peak time,Peak total,Initial,Home,School,Block,Work,Taxi,Tests,Positive,% Detected,Quarantines,R0,Tracing,TaT
0,269,5845,0,0,5802,43,34,3615,23,3939,14,953,631,622,2413,1212,1457,1097,18.7682,0,1.64989,0,2
1,269,5843,0,0,5810,33,28,3630,21,4013,20,966,562,621,2447,1227,1419,1071,18.3296,0,1.67029,0,2
2,269,5740,0,0,5705,35,31,3619,23,3984,19,842,594,592,2391,1302,1392,1032,17.9791,0,1.66223,0,2
3,269,5878,0,0,5851,27,26,3695,22,4121,17,919,577,602,2472,1291,1449,1104,18.7819,0,1.70097,0,2
4,269,5863,0,0,5820,43,40,3594,20,3951,30,905,642,637,2388,1261,1518,1139,19.4269,0,1.65317,0,2
5,269,5904,0,0,5878,26,20,3691,22,4101,24,960,544,694,2429,1253,1454,1089,18.4451,0,1.6952,0,2
6,269,5871,0,0,5836,35,33,3617,23,4054,21,959,588,681,2407,1215,1485,1142,19.4515,0,1.6818,0,2
7,269,5851,0,0,5807,44,40,3604,21,4032,23,969,618,613,2387,1241,1449,1085,18.5438,0,1.6756,0,2
8,269,5722,0,0,5677,45,41,3643,23,4097,14,844,498,598,2454,1314,1389,1065,18.6124,0,1.69405,0,2
9,269,5849,0,0,5830,19,17,3624,21,3966,27,923,613,648,2439,1199,1462,1139,19.4734,0,1.65728,0,2
10,269,5837,0,0,5817,20,16,3611,21,4045,25,899,651,598,2434,1230,1444,1092,18.7082,0,1.67926,0,2
11,269,5829,0,0,5770,59,57,3642,22,4074,27,922,567,638,2422,1253,1420,1083,18.5795,0,1.68748,0,2
12,269,5882,0,0,5846,36,31,3636,21,4062,24,888,620,659,2435,1256,1441,1073,18.2421,0,1.68407,0,2
13,269,5932,0,0,5903,29,26,3696,23,4128,23,930,588,643,2462,1286,1495,1116,18.8132,0,1.703,0,2
14,269,5874,0,0,5829,45,40,3613,25,4150,21,921,597,637,2468,1230,1408,1059,18.0286,0,1.7094,0,2
15,269,5938,0,0,5899,39,38,3682,22,4030,16,938,629,653,2424,1278,1434,1097,18.4742,0,1.67504,0,2
16,269,5905,0,0,5871,34,32,3659,21,4069,20,916,630,666,2454,1219,1447,1095,18.5436,0,1.68606,0,2
17,269,5794,0,0,5760,34,29,3565,23,4026,27,910,586,651,2416,1204,1355,1017,17.5526,0,1.67392,0,2
18,269,5811,0,0,5769,42,35,3646,24,4000,18,917,555,647,2441,1233,1425,1060,18.2413,0,1.66667,0,2
19,269,5654,0,0,5617,37,35,3505,24,3920,20,900,552,627,2292,1263,1420,1080,19.1015,0,1.64474,0,2
20,269,5911,0,0,5872,39,35,3617,23,4086,23,959,636,620,2401,1272,1466,1122,18.9816,0,1.6909,0,2
21,269,5933,0,0,5910,23,22,3590,22,3962,20,965,641,681,2367,1259,1472,1112,18.7426,0,1.65618,0,2
22,269,5932,0,0,5879,53,48,3676,24,4077,17,943,624,650,2454,1244,1408,1048,17.6669,0,1.68833,0,2
23,269,5999,0,0,5955,44,40,3629,23,4052,23,992,689,638,2415,1242,1457,1107,18.4531,0,1.68124,0,2
24,269,5828,0,0,5780,48,44,3656,24,4138,17,911,596,639,2397,1268,1472,1105,18.9602,0,1.7059,0,2
25,269,5844,0,0,5817,27,22,3607,22,4030,23,895,586,651,2439,1250,1419,1102,18.8569,0,1.67504,0,2
26,269,5964,0,0,5941,23,19,3710,23,4169,17,904,632,631,2464,1316,1430,1078,18.0751,0,1.71497,0,2
27,269,5855,0,0,5809,46,41,3445,22,3832,18,928,710,656,2252,1291,1456,1092,18.6507,0,1.62127,0,2
28,269,5969,0,0,5916,53,48,3672,24,4126,20,938,602,671,2442,1296,1464,1101,18.4453,0,1.70242,0,2
29,269,5969,0,0,5936,33,31,3708,21,4046,24,944,617,618,2485,1281,1441,1104,18.4956,0,1.67954,0,2
30,269,5868,0,0,5808,60,55,3707,25,4106,21,902,529,680,2440,1296,1393,1020,17.3824,0,1.69664,0,2
31,269,5861,0,0,5820,41,36,3641,20,4007,25,961,600,612,2384,1279,1529,1170,19.9625,0,1.66861,0,2
32,269,5881,0,0,5848,33,31,3645,22,4024,17,910,608,635,2472,1239,1502,1130,19.2144,0,1.67336,0,2
33,269,5964,0,0,5952,12,10,3698,25,4091,16,961,577,627,2546,1237,1459,1105,18.5278,0,1.69233,0,2
34,269,5765,0,0,5738,27,23,3657,24,4030,17,919,550,636,2425,1218,1444,1075,18.647,0,1.67504,0,2
35,269,5855,0,0,5814,41,38,3646,21,4067,24,880,555,656,2417,1323,1481,1096,18.719,0,1.68549,0,2
36,269,5808,0,0,5783,25,22,3588,26,4086,13,888,582,636,2426,1263,1442,1088,18.7328,0,1.6909,0,2
37,269,5958,0,0,5910,48,45,3725,25,4141,16,916,634,666,2502,1224,1444,1076,18.0598,0,1.70678,0,2
38,269,5858,0,0,5812,46,42,3690,21,4107,21,913,575,614,2426,1309,1427,1110,18.9484,0,1.69693,0,2
39,269,6024,0,0,5993,31,23,3644,24,4076,11,923,717,684,2457,1232,1448,1096,18.1939,0,1.68805,0,2
40,269,5792,0,0,5757,35,29,3616,24,4059,16,915,621,591,2364,1285,1484,1115,19.2507,0,1.68322,0,2
41,269,5964,0,0,5933,31,27,3639,24,4146,20,955,617,674,2388,1310,1469,1119,18.7626,0,1.70823,0,2
42,269,5821,0,0,5774,47,45,3706,24,4079,15,910,552,632,2441,1271,1411,1060,18.2099,0,1.6889,0,2
43,269,5795,0,0,5742,53,50,3556,23,3923,17,883,633,617,2396,1249,1392,1060,18.2916,0,1.64555,0,2
44,269,5857,0,0,5807,50,41,3634,23,4089,24,961,552,642,2415,1263,1472,1098,18.7468,0,1.69176,0,2
45,269,5948,0,0,5926,22,17,3690,22,4186,24,965,589,642,2527,1201,1445,1095,18.4095,0,1.71999,0,2
46,269,5822,0,0,5786,36,32,3542,24,4021,18,896,647,624,2386,1251,1421,1078,18.516,0,1.67252,0,2
47,269,5990,0,0,5938,52,48,3623,22,4027,26,957,701,653,2470,1183,1464,1118,18.6644,0,1.6742,0,2
48,269,5932,0,0,5884,48,44,3643,21,4035,21,959,594,656,2451,1251,1446,1083,18.2569,0,1.67645,0,2
49,269,5840,0,0,5810,30,26,3662,24,4140,23,883,589,613,2489,1243,1414,1052,18.0137,0,1.70648,0,2
50,269,5795,0,0,5761,34,23,3636,25,3979,11,908,587,617,2436,1236,1442,1080,18.6368,0,1.66085,0,2
51,269,5779,0,0,5734,45,37,3496,24,3940,14,940,609,622,2287,1307,1411,1090,18.8614,0,1.65017,0,2
52,269,5944,0,0,5922,22,16,3657,22,4024,20,955,606,677,2451,1235,1439,1067,17.9509,0,1.67336,0,2
