Run,Time step,Infections,Exposed,Infectious,Recovered,Dead,ICU full,Peak,Peak time,Peak total,Initial,Home,School,Block,Work,Taxi,Tests,Positive,% Detected,Quarantines,R0,Tracing,TaT
0,269,5559,0,0,5539,20,17,3572,25,3931,12,868,432,591,2381,1275,9999,1458,26.2277,8388,1.64772,1,11
1,269,5509,0,0,5459,50,46,3642,21,4076,22,814,409,588,2432,1244,9454,1392,25.2677,7911,1.68805,1,11
2,269,5654,0,0,5609,45,39,3692,25,4084,23,879,474,596,2453,1229,10401,1506,26.636,8781,1.69033,1,11
3,269,5585,0,0,5529,56,51,3598,22,3997,23,836,504,600,2369,1253,10098,1481,26.5175,8476,1.66583,1,11
4,269,5656,0,0,5610,46,42,3772,24,4247,21,799,434,600,2524,1278,10234,1456,25.7426,8593,1.73822,1,11
5,269,5574,0,0,5550,24,21,3634,21,4053,25,831,472,627,2377,1242,10221,1513,27.1439,8603,1.68152,1,11
6,269,5648,0,0,5593,55,50,3637,25,4015,18,870,502,602,2387,1269,10118,1479,26.1863,8539,1.67084,1,11
7,269,5557,0,0,5520,37,33,3628,22,3993,20,861,447,588,2402,1239,9761,1488,26.777,8256,1.66472,1,11
8,269,5651,0,0,5623,28,26,3655,23,4119,20,882,446,607,2476,1220,10468,1509,26.7032,8774,1.70039,1,11
9,269,5727,0,0,5664,63,58,3709,21,4094,27,876,489,583,2422,1330,9934,1392,24.3059,8227,1.69319,1,11
10,269,5615,0,0,5575,40,34,3554,26,4065,12,909,507,547,2367,1273,10668,1561,27.8005,8985,1.68492,1,11
11,269,5609,0,0,5563,46,41,3660,23,4122,17,831,491,591,2458,1221,9820,1411,25.156,8228,1.70126,1,11
12,269,5556,0,0,5544,12,11,3625,22,4024,29,882,451,515,2492,1187,10408,1471,26.4759,8735,1.67336,1,11
13,269,5667,0,0,5613,54,50,3765,22,4150,25,868,466,537,2486,1285,10559,1506,26.5749,8860,1.7094,1,11
14,269,5441,0,0,5421,20,19,3545,22,3966,19,809,437,536,2395,1245,9524,1390,25.5468,7958,1.65728,1,11
15,269,5621,0,0,5591,30,27,3687,25,4079,17,875,441,529,2430,1329,10370,1510,26.8635,8768,1.6889,1,11
16,269,5613,0,0,5577,36,33,3664,23,4026,14,814,476,578,2434,1297,9904,1466,26.1179,8349,1.67392,1,11
17,269,5599,0,0,5558,41,38,3569,22,4053,28,852,508,581,2351,1279,9943,1534,27.3977,8346,1.68152,1,11
18,269,5649,0,0,5609,40,36,3661,26,4272,21,888,431,579,2458,1272,10050,1499,26.5357,8448,1.74581,1,11
19,269,5660,0,0,5645,15,13,3615,22,4077,28,897,463,600,2381,1291,10071,1471,25.9894,8444,1.68833,1,11
20,269,5562,0,0,5520,42,40,3652,23,4053,12,812,482,545,2408,1303,10392,1506,27.0766,8815,1.68152,1,11
21,269,5630,0,0,5585,45,44,3696,25,4109,17,886,424,604,2403,1296,10350,1506,26.7496,8701,1.6975,1,11
22,269,5556,0,0,5527,29,23,3568,23,4014,18,851,450,591,2408,1238,10368,1487,26.7639,8716,1.67056,1,11
23,269,5572,0,0,5534,38,35,3684,27,4193,17,857,395,569,2478,1256,9788,1478,26.5255,8294,1.72206,1,11
24,269,5574,0,0,5515,59,53,3660,23,4065,18,877,427,551,2448,1253,10320,1491,26.7492,8721,1.68492,1,11
25,269,5606,0,0,5571,35,33,3609,22,4069,19,876,442,559,2394,1316,9874,1449,25.8473,8332,1.68606,1,11
26,269,5606,0,0,5567,39,37,3655,23,4087,12,901,444,563,2453,1233,10423,1488,26.543,8790,1.69119,1,11
27,269,5419,0,0,5400,19,14,3521,23,3924,20,802,400,570,2425,1202,9876,1394,25.7243,8231,1.64582,1,11
28,269,5601,0,0,5566,35,32,3639,24,4129,19,865,440,574,2400,1303,10078,1431,25.549,8478,1.70329,1,11
29,269,5583,0,0,5539,44,38,3622,23,4116,22,865,464,585,2357,1290,10381,1484,26.5807,8681,1.69952,1,11
30,269,5577,0,0,5552,25,22,3604,22,3960,17,832,534,565,2398,1231,10147,1474,26.43,8479,1.65563,1,11
31,269,5511,0,0,5466,45,45,3664,23,4083,16,825,376,578,2485,1231,10166,1424,25.8392,8530,1.69005,1,11
32,269,5731,0,0,5696,35,27,3664,24,4087,15,907,479,603,2463,1264,10209,1499,26.156,8485,1.69119,1,11
33,269,5613,0,0,5584,29,27,3548,26,3957,11,888,536,564,2310,1304,10052,1449,25.8151,8366,1.65481,1,11
34,269,5542,0,0,5520,22,18,3584,21,3960,35,862,453,581,2334,1277,10055,1426,25.7308,8361,1.65563,1,11
35,269,5533,0,0,5511,22,20,3592,23,4045,19,843,450,572,2426,1223,9765,1422,25.7003,8094,1.67926,1,11
36,269,5559,0,0,5527,32,26,3627,23,4079,21,852,442,570,2401,1273,10159,1475,26.5335,8538,1.6889,1,11
37,269,5659,0,0,5633,26,17,3665,24,4023,20,848,516,598,2411,1266,10314,1527,26.9836,8681,1.67308,1,11
38,269,5577,0,0,5547,30,29,3512,25,3960,17,873,507,581,2234,1365,10384,1516,27.1831,8756,1.65563,1,11
39,269,5602,0,0,5561,41,39,3715,21,4098,25,845,466,584,2412,1270,10259,1502,26.8119,8669,1.69434,1,11
40,269,5583,0,0,5547,36,33,3679,22,4151,19,810,427,590,2460,1277,10236,1493,26.7419,8601,1.70969,1,11
41,269,5642,0,0,5609,33,31,3708,24,4122,14,882,483,556,2434,1273,10507,1493,26.4622,8793,1.70126,1,11
42,269,5645,0,0,5604,41,40,3627,21,3986,20,862,485,583,2403,1292,10329,1497,26.519,8669,1.66279,1,11
43,269,5605,0,0,5575,30,23,3672,22,3991,13,843,455,608,2456,1230,9698,1424,25.4059,8136,1.66417,1,11
44,269,5560,0,0,5513,47,43,3553,23,3933,16,880,460,561,2360,1283,10415,1525,27.4281,8803,1.64826,1,11
45,269,5526,0,0,5498,28,24,3547,23,3947,16,875,465,555,2363,1252,10088,1461,26.4387,8520,1.65207,1,11
46,269,5633,0,0,5607,26,24,3648,22,4071,21,927,416,579,2461,1229,9923,1441,25.5814,8346,1.68663,1,11
47,269,5660,0,0,5598,62,56,3622,24,3982,21,925,459,633,2317,1305,10071,1539,27.1908,8530,1.66168,1,11
48,269,5590,0,0,5535,55,52,3671,25,4073,18,886,485,545,2409,1247,10447,1534,27.4419,8856,1.68719,1,11
49,269,5494,0,0,5454,40,34,3614,23,4097,18,768,414,588,2390,1316,10042,1449,26.3742,8412,1.69405,1,11
50,269,5507,0,0,5451,56,53,3529,22,3955,26,828,450,553,2356,1294,9600,1393,25.2951,8066,1.65426,1,11
51,269,5615,0,0,5573,42,40,3553,23,3977,15,916,451,589,2422,1222,10296,1484,26.4292,8657,1.6603,1,11
52,269,5693,0,0,5661,32,31,3737,23,4096,22,860,488,555,2445,1323,9877,1460,25.6455,8324,1.69377,1,11
53,269,5579,0,0,5532,47,45,3693,25,4159,18,845,423,530,2397,1366,10335,1507,27.012,8721,1.71204,1,11
54,269,5656,0,0,5608,48,47,3608,22,4022,26,866,455,625,2349,1335,10155,1427,25.2298,8517,1.6728,1,11
55,269,5740,0,0,5725,15,12,3665,24,4125,18,877,482,640,2407,1316,10760,1573,27.4042,9065,1.70213,1,11
56,269,5550,0,0,5511,39,35,3672,22,4026,20,849,400,598,2419,1264,10062,1498,26.991,8464,1.67392,1,11
57,269,5526,0,0,5487,39,38,3635,25,4038,16,877,395,562,2451,1225,9880,1457,26.3663,8292,1.67729,1,11
58,269,5560,0,0,5540,20,17,3648,22,4013,24,815,477,568,2450,1226,10159,1483,26.6727,8514,1.67029,1,11
59,269,5472,0,0,5448,24,23,3606,22,4059,26,826,402,588,2362,1268,9520,1426,26.0599,8000,1.68322,1,11
60,269,5575,0,0,5529,46,43,3694,23,4142,22,826,411,591,2420,1305,10297,1498,26.87,8691,1.70707,1,11
61,269,5620,0,0,5587,33,32,3699,22,4121,22,833,440,571,2484,1270,9851,1491,26.5302,8340,1.70097,1,11
62,269,5686,0,0,5645,41,39,3693,24,4065,16,901,453,601,2483,1232,10385,1588,27.9282,8903,1.68492,1,11
63,269,5621,0,0,5582,39,37,3649,23,4094,22,846,476,597,2396,1284,10122,1484,26.401,8551,1.69319,1,11
64,269,5626,0,0,5615,11,10,3625,24,4153,24,873,495,563,2358,1313,10023,1508,26.8041,8430,1.71028,1,11
65,269,5644,0,0,5604,40,34,3623,21,4075,26,862,509,580,2390,1277,10099,1559,27.6223,8567,1.68776,1,11
66,269,5402,0,0,5381,21,16,3590,20,3969,25,785,427,555,2429,1181,10222,1444,26.7308,8506,1.6581,1,11
67,269,5626,0,0,5586,40,39,3706,24,4075,20,819,497,589,2482,1219,9831,1441,25.6132,8249,1.68776,1,11
68,269,5553,0,0,5513,40,33,3633,23,4116,19,861,419,572,2477,1205,9603,1447,26.058,8038,1.69952,1,11
69,269,5489,0,0,5445,44,42,3631,23,4004,18,828,429,535,2442,1237,9758,1440,26.2343,8153,1.66778,1,11
70,269,5557,0,0,5514,43,42,3632,21,4019,15,852,433,579,2417,1261,9930,1472,26.4891,8348,1.67196,1,11
71,269,5624,0,0,5597,27,26,3674,23,4084,18,885,453,543,2464,1261,10367,1519,27.0092,8730,1.69033,1,11
72,269,5462,0,0,5425,37,32,3596,22,3998,24,842,404,524,2400,1268,9751,1427,26.126,8227,1.66611,1,11
73,269,5717,0,0,5697,20,12,3688,21,4071,24,849,487,664,2390,1303,10285,1526,26.6923,8687,1.68663,1,11
74,269,5592,0,0,5548,44,40,3634,20,4059,25,827,452,607,2399,1282,10427,1492,26.681,8822,1.68322,1,11
75,269,5606,0,0,5582,24,19,3641,25,4142,21,851,450,594,2408,1282,9648,1418,25.2943,8057,1.70707,1,11
76,269,5555,0,0,5536,19,13,3681,23,4119,20,858,440,521,2411,1305,10205,1543,27.7768,8633,1.70039,1,11
77,269,5635,0,0,5599,36,34,3629,23,4056,15,859,467,556,2393,1345,9763,1472,26.1224,8160,1.68237,1,11
78,269,5633,0,0,5609,24,20,3695,22,4126,20,844,477,580,2487,1225,9997,1474,26.1672,8423,1.70242,1,11
79,269,5613,0,0,5592,21,14,3610,23,3967,19,850,483,578,2442,1241,10195,1491,26.5633,8539,1.65755,1,11
80,269,5463,0,0,5431,32,31,3622,23,4128,25,805,377,512,2454,1290,9781,1406,25.7368,8246,1.703,1,11
81,269,5665,0,0,5637,28,26,3585,24,4148,26,902,505,629,2386,1217,10369,1561,27.5552,8684,1.70882,1,11
82,269,5630,0,0,5591,39,35,3709,21,4087,22,862,449,565,2487,1245,10101,1451,25.7726,8474,1.69119,1,11
83,269,5552,0,0,5528,24,19,3671,22,4085,18,849,454,570,2434,1227,9903,1441,25.9546,8234,1.69062,1,11
84,269,5591,0,0,5556,35,32,3629,24,4056,20,856,489,542,2406,1278,10038,1545,27.6337,8541,1.68237,1,11
85,269,5589,0,0,5559,30,26,3569,24,4116,27,883,492,569,2332,1286,10146,1512,27.0531,8559,1.69952,1,11
86,269,5489,0,0,5455,34,33,3623,20,3968,26,853,411,567,2388,1244,10115,1510,27.5096,8601,1.65782,1,11
87,269,5718,0,0,5676,42,36,3666,26,4077,16,889,473,642,2493,1205,10048,1452,25.3935,8403,1.68833,1,11
88,269,5566,0,0,5530,36,31,3630,20,3975,26,832,442,579,2424,1263,10394,1522,27.3446,8861,1.65975,1,11
89,269,5712,0,0,5671,41,38,3725,21,4063,25,880,460,583,2516,1248,10592,1574,27.556,8970,1.68435,1,11
90,269,5664,0,0,5619,45,41,3614,24,4080,21,873,522,574,2370,1304,10335,1492,26.3418,8704,1.68919,1,11
91,269,5480,0,0,5448,32,31,3564,23,3991,18,884,437,547,2285,1309,9756,1420,25.9124,8100,1.66417,1,11
92,269,5598,0,0,5562,36,29,3647,21,4026,22,877,472,561,2460,1206,10472,1488,26.5809,8764,1.67392,1,11
93,269,5618,0,0,5593,25,21,3630,22,4030,23,835,503,588,2409,1260,10277,1553,27.6433,8734,1.67504,1,11
94,269,5490,0,0,5466,24,19,3636,21,3967,20,860,384,539,2394,1293,9727,1423,25.9199,8077,1.65755,1,11
95,269,5674,0,0,5629,45,39,3632,22,3974,22,869,485,622,2451,1225,10311,1515,26.7007,8621,1.65948,1,11
96,269,5585,0,0,5537,48,41,3606,23,3969,22,867,463,557,2388,1288,10191,1551,27.7708,8632,1.6581,1,11
97,269,5577,0,0,5543,34,27,3640,24,4162,25,838,457,541,2448,1268,9779,1431,25.659,8269,1.71292,1,11
98,269,5587,0,0,5568,19,17,3649,23,4082,20,912,430,564,2449,1212,10035,1510,27.027,8535,1.68976,1,11
99,269,5653,0,0,5597,56,52,3640,24,4056,21,907,430,622,2422,1251,10196,1463,25.8801,8541,1.68237,1,11
100,269,5530,0,0,5488,42,34,3597,25,4065,12,863,454,566,2425,1210,9880,1461,26.4195,8263,1.68492,1,11
101,269,5644,0,0,5627,17,11,3597,24,4062,19,889,492,598,2454,1192,10096,1497,26.5237,8499,1.68407,1,11
102,269,5588,0,0,5558,30,26,3641,25,4120,15,816,482,584,2451,1240,10520,1525,27.2906,8891,1.70068,1,11
