Run,Time step,Infections,Exposed,Infectious,Recovered,Dead,ICU full,Peak,Peak time,Peak total,Initial,Home,School,Block,Work,Taxi,Tests,Positive,% Detected,Quarantines,R0,Tracing,TaT
0,269,5156,0,0,5111,45,44,3621,27,4051,11,662,307,474,2432,1270,1208,766,14.8565,6892,1.68095,1,6
1,269,5189,0,0,5154,35,30,3635,22,3954,18,727,311,445,2435,1253,1269,773,14.8969,7160,1.65399,1,6
2,269,5130,0,0,5100,30,26,3590,24,4036,19,697,286,451,2413,1264,1229,788,15.3606,6921,1.67673,1,6
3,269,5118,0,0,5100,18,14,3592,22,3942,13,679,289,456,2445,1236,1282,798,15.592,6943,1.65071,1,6
4,269,5217,0,0,5184,33,31,3632,21,4008,26,738,331,504,2326,1292,1273,808,15.4878,7040,1.66889,1,6
5,269,5160,0,0,5124,36,36,3665,21,4177,27,711,221,438,2487,1276,1247,795,15.407,6795,1.71733,1,6
6,269,5268,0,0,5232,36,31,3662,22,4167,24,727,344,482,2388,1303,1344,857,16.268,7236,1.71438,1,6
7,269,5368,0,0,5316,52,49,3708,22,4187,16,772,394,483,2453,1250,1282,806,15.0149,7056,1.72028,1,6
8,269,5200,0,0,5172,28,24,3644,23,4089,14,716,298,498,2439,1235,1326,821,15.7885,6862,1.69176,1,6
9,269,5097,0,0,5071,26,25,3582,25,4017,22,674,275,457,2401,1268,1335,856,16.7942,7246,1.6714,1,6
10,269,5269,0,0,5227,42,38,3566,23,4034,20,796,353,484,2394,1222,1301,846,16.0562,7477,1.67616,1,6
11,269,5248,0,0,5219,29,28,3611,22,3977,22,671,348,490,2437,1280,1248,795,15.1486,7269,1.6603,1,6
12,269,5319,0,0,5298,21,16,3721,22,4179,24,770,306,455,2473,1291,1287,823,15.4728,7140,1.71792,1,6
13,269,5316,0,0,5285,31,25,3685,22,4021,18,768,325,475,2449,1281,1273,802,15.0865,6931,1.67252,1,6
14,269,5320,0,0,5292,28,26,3621,20,3937,23,771,353,493,2422,1258,1347,842,15.8271,7305,1.64935,1,6
15,269,5223,0,0,5198,25,23,3611,22,3967,19,720,354,437,2441,1252,1332,869,16.6379,7828,1.65755,1,6
16,269,5290,0,0,5253,37,37,3624,21,4015,27,740,350,506,2423,1244,1363,863,16.3138,7456,1.67084,1,6
17,269,5339,0,0,5286,53,49,3700,21,4111,26,763,297,469,2499,1285,1330,822,15.3961,7054,1.69808,1,6
18,269,5242,0,0,5204,38,33,3606,23,4093,19,710,299,483,2457,1274,1272,806,15.3758,7066,1.69291,1,6
19,269,5302,0,0,5265,37,34,3653,22,4110,24,754,325,481,2378,1340,1374,879,16.5786,7291,1.69779,1,6
20,269,5223,0,0,5193,30,27,3628,24,4074,21,752,313,431,2465,1241,1300,851,16.2933,7549,1.68748,1,6
21,269,5260,0,0,5225,35,30,3709,26,4069,12,721,277,494,2427,1329,1260,801,15.2281,7044,1.68606,1,6
22,269,5254,0,0,5213,41,38,3644,25,4084,17,774,318,474,2414,1257,1229,778,14.8078,6849,1.69033,1,6
23,269,5132,0,0,5115,17,14,3590,24,3904,15,687,315,442,2428,1245,1293,844,16.4458,7225,1.64042,1,6
24,269,5209,0,0,5181,28,24,3601,22,4011,18,738,302,495,2408,1248,1258,780,14.9741,6929,1.66973,1,6
25,269,5204,0,0,5176,28,22,3645,22,4072,19,730,330,439,2387,1299,1287,832,15.9877,7311,1.68691,1,6
26,269,5149,0,0,5101,48,46,3574,24,4059,26,714,325,414,2410,1260,1264,790,15.3428,7106,1.68322,1,6
27,269,5333,0,0,5312,21,19,3703,26,4063,13,753,340,498,2445,1284,1321,840,15.751,7229,1.68435,1,6
28,269,5204,0,0,5151,53,50,3654,21,4076,21,706,288,460,2403,1326,1254,783,15.0461,6743,1.68805,1,6
