Run,Time step,Infections,Exposed,Infectious,Recovered,Dead,ICU full,Peak,Peak time,Peak total,Initial,Home,School,Block,Work,Taxi,Tests,Positive,% Detected,Quarantines,R0,Tracing,TaT
0,269,5618,0,0,5601,17,14,3584,25,3988,14,930,462,593,2359,1260,1361,341,6.06978,3640,1.66334,1,11
1,269,5504,0,0,5467,37,34,3612,22,4023,21,802,440,564,2418,1259,1354,341,6.19549,3722,1.67308,1,11
2,269,5643,0,0,5606,37,31,3643,23,4056,23,861,513,615,2400,1231,1433,382,6.76945,3918,1.68237,1,11
3,269,5765,0,0,5706,59,55,3765,22,4132,13,913,455,624,2499,1261,1438,382,6.62619,4105,1.70416,1,11
4,269,5629,0,0,5614,15,12,3557,23,4077,19,828,469,607,2496,1210,1376,357,6.34216,3848,1.68833,1,11
5,269,5621,0,0,5587,34,31,3632,22,4008,21,888,457,571,2399,1285,1332,339,6.03096,3741,1.66889,1,11
6,269,5609,0,0,5597,12,9,3584,26,3942,14,862,484,611,2332,1306,1295,328,5.84774,3469,1.65071,1,11
7,269,5575,0,0,5547,28,24,3592,24,4062,22,884,398,628,2365,1278,1337,332,5.95516,3554,1.68407,1,11
8,269,5516,0,0,5458,58,56,3580,22,3903,23,824,482,574,2391,1222,1376,362,6.56273,3783,1.64015,1,11
9,269,5612,0,0,5585,27,24,3647,25,4108,21,857,490,608,2355,1281,1377,336,5.98717,3688,1.69722,1,11
10,269,5669,0,0,5647,22,18,3625,22,4023,19,906,499,585,2423,1237,1373,339,5.97989,4191,1.67308,1,11
11,269,5633,0,0,5589,44,41,3635,24,4019,18,881,460,601,2453,1220,1324,315,5.59205,3442,1.67196,1,11
12,269,5557,0,0,5523,34,30,3570,22,3977,22,832,475,563,2419,1246,1301,361,6.49631,4019,1.6603,1,11
13,269,5732,0,0,5691,41,38,3699,22,4137,20,864,517,590,2502,1239,1447,367,6.40265,4004,1.70561,1,11
14,269,5733,0,0,5725,8,5,3682,25,4075,19,882,503,592,2476,1261,1414,369,6.43642,3959,1.68776,1,11
15,269,5600,0,0,5544,56,52,3616,24,4043,25,863,487,573,2437,1215,1335,347,6.19643,3743,1.6787,1,11
16,269,5610,0,0,5603,7,5,3622,22,3968,17,824,469,652,2460,1188,1365,348,6.20321,3806,1.65782,1,11
17,269,5615,0,0,5564,51,48,3678,23,4225,23,835,436,584,2390,1347,1337,345,6.14426,3609,1.7316,1,11
18,269,5590,0,0,5564,26,22,3491,24,3879,19,866,506,615,2357,1227,1424,376,6.7263,3972,1.63372,1,11
19,269,5639,0,0,5602,37,33,3557,24,3917,20,897,495,614,2408,1205,1421,336,5.9585,3648,1.64393,1,11
20,269,5695,0,0,5672,23,17,3618,21,4072,34,854,528,603,2406,1270,1406,336,5.89991,3734,1.68691,1,11
21,269,5769,0,0,5737,32,30,3672,26,4103,15,891,513,625,2460,1265,1378,358,6.20558,3857,1.69578,1,11
22,269,5599,0,0,5555,44,40,3673,22,4062,25,876,419,579,2420,1280,1363,348,6.2154,3799,1.68407,1,11
23,269,5526,0,0,5481,45,38,3643,21,4087,20,857,418,571,2346,1314,1378,359,6.49656,3925,1.69119,1,11
24,269,5700,0,0,5662,38,35,3762,25,4188,12,845,481,578,2558,1226,1349,342,6,3695,1.72058,1,11
25,269,5548,0,0,5520,28,24,3605,26,3952,10,853,447,592,2425,1221,1335,369,6.65105,3920,1.65344,1,11
26,269,5528,0,0,5499,29,28,3597,22,4043,25,816,477,567,2341,1302,1359,323,5.84298,3580,1.6787,1,11
