Run,Time step,Infections,Exposed,Infectious,Recovered,Dead,ICU full,Peak,Peak time,Peak total,Initial,Home,School,Block,Work,Taxi,Tests,Positive,% Detected,Quarantines,R0,Tracing,TaT
0,269,5866,0,0,5827,39,34,3679,23,4181,19,957,586,640,2448,1216,1470,619,10.5523,0,1.71851,0,9
1,269,5960,0,0,5914,46,43,3651,22,4097,19,914,686,654,2457,1230,1474,648,10.8725,0,1.69405,0,9
2,269,5681,0,0,5652,29,25,3563,22,3983,21,868,547,604,2408,1233,1326,530,9.32934,0,1.66196,0,9
3,269,5767,0,0,5739,28,24,3536,24,3945,14,911,616,633,2336,1257,1426,614,10.6468,0,1.65153,0,9
4,269,5803,0,0,5773,30,29,3600,25,3988,13,901,571,653,2415,1250,1446,607,10.4601,0,1.66334,0,9
5,269,5782,0,0,5743,39,33,3637,24,4027,20,863,573,639,2400,1287,1349,531,9.18367,0,1.6742,0,9
6,269,5945,0,0,5922,23,19,3724,22,4129,16,1005,600,616,2412,1296,1467,597,10.0421,0,1.70329,0,9
7,269,5816,0,0,5762,54,48,3612,22,4027,24,896,568,647,2426,1255,1335,547,9.40509,0,1.6742,0,9
8,269,5755,0,0,5741,14,11,3529,25,3983,26,946,626,585,2283,1289,1463,592,10.2867,0,1.66196,0,9
9,269,5735,0,0,5710,25,21,3556,24,3976,20,900,560,609,2380,1266,1402,564,9.83435,0,1.66003,0,9
10,269,5735,0,0,5700,35,32,3548,24,4025,20,905,605,601,2357,1247,1402,578,10.0785,0,1.67364,0,9
11,269,5891,0,0,5830,61,55,3610,24,4022,18,972,647,643,2373,1238,1449,605,10.2699,0,1.6728,0,9
12,269,5807,0,0,5784,23,19,3621,21,3946,22,888,627,598,2410,1262,1440,595,10.2463,0,1.6518,0,9
13,269,5759,0,0,5719,40,33,3638,20,3977,24,874,596,592,2393,1280,1383,562,9.75864,0,1.6603,0,9
14,269,5826,0,0,5786,40,36,3686,23,4012,19,913,580,580,2498,1236,1443,608,10.436,0,1.67001,0,9
15,269,5816,0,0,5779,37,35,3636,21,4045,20,866,641,633,2452,1204,1386,586,10.0757,0,1.67926,0,9
16,269,5833,0,0,5782,51,44,3679,22,4179,25,880,600,589,2473,1266,1410,576,9.87485,0,1.71792,0,9
17,269,5840,0,0,5818,22,18,3639,24,4104,20,932,575,640,2438,1235,1385,567,9.7089,0,1.69607,0,9
18,269,5952,0,0,5929,23,17,3639,22,4007,19,943,653,646,2427,1264,1429,598,10.047,0,1.66861,0,9
19,269,5938,0,0,5879,59,52,3713,21,4064,24,965,582,657,2395,1315,1376,591,9.95285,0,1.68464,0,9
20,269,5966,0,0,5928,38,35,3629,24,4081,19,988,676,621,2408,1254,1434,611,10.2414,0,1.68947,0,9
21,269,5803,0,0,5748,55,49,3654,23,3989,23,878,579,652,2431,1240,1396,585,10.081,0,1.66362,0,9
22,269,5954,0,0,5930,24,18,3701,22,4095,17,906,609,655,2481,1286,1477,590,9.9093,0,1.69348,0,9
23,269,5864,0,0,5830,34,30,3583,21,3976,21,919,603,631,2389,1301,1399,534,9.10641,0,1.66003,0,9
24,269,5900,0,0,5861,39,34,3627,24,4038,17,920,668,672,2395,1228,1447,605,10.2542,0,1.67729,0,9
25,269,5944,0,0,5923,21,19,3637,22,4004,19,943,632,685,2375,1290,1434,603,10.1447,0,1.66778,0,9
26,269,5941,0,0,5893,48,43,3700,21,4078,24,938,627,666,2410,1276,1382,582,9.79633,0,1.68862,0,9
27,269,5861,0,0,5822,39,38,3529,23,3912,31,920,671,629,2355,1255,1440,579,9.87886,0,1.64258,0,9
28,269,5994,0,0,5950,44,37,3709,24,4151,20,918,651,664,2403,1338,1461,593,9.89323,0,1.70969,0,9
29,269,5866,0,0,5846,20,16,3608,21,3919,13,934,622,625,2427,1245,1440,597,10.1773,0,1.64447,0,9
30,269,5874,0,0,5854,20,16,3673,21,4056,24,889,584,613,2464,1300,1490,595,10.1294,0,1.68237,0,9
31,269,5876,0,0,5831,45,39,3657,22,4054,19,974,596,572,2468,1247,1444,568,9.66644,0,1.6818,0,9
32,269,5972,0,0,5961,11,11,3685,22,4179,18,981,624,602,2425,1322,1520,635,10.633,0,1.71792,0,9
33,269,5703,0,0,5649,54,53,3597,23,3970,26,868,577,633,2292,1307,1351,574,10.0649,0,1.65837,0,9
34,269,5668,0,0,5620,48,42,3599,25,3969,16,857,544,599,2472,1180,1340,571,10.0741,0,1.6581,0,9
35,269,5840,0,0,5796,44,39,3645,22,4054,19,922,581,623,2383,1312,1376,582,9.96575,0,1.6818,0,9
36,269,5939,0,0,5912,27,26,3639,22,4135,29,974,644,672,2349,1271,1406,571,9.61441,0,1.70503,0,9
37,269,5874,0,0,5828,46,40,3652,22,4117,19,889,608,662,2443,1253,1400,582,9.90807,0,1.69981,0,9
38,269,5899,0,0,5861,38,35,3658,23,4069,15,981,592,635,2411,1265,1443,579,9.81522,0,1.68606,0,9
39,269,5732,0,0,5713,19,17,3543,21,3921,21,899,616,598,2334,1264,1404,535,9.33357,0,1.64501,0,9
40,269,5868,0,0,5836,32,28,3646,21,4088,21,895,600,630,2431,1291,1458,616,10.4976,0,1.69147,0,9
41,269,5792,0,0,5754,38,35,3595,24,3965,22,910,578,644,2401,1237,1404,552,9.53039,0,1.657,0,9
42,269,5799,0,0,5747,52,47,3531,20,3997,31,943,606,593,2315,1311,1443,592,10.2087,0,1.66583,0,9
43,269,5870,0,0,5840,30,29,3547,26,4000,15,956,622,661,2375,1241,1458,593,10.1022,0,1.66667,0,9
44,269,5665,0,0,5635,30,27,3598,23,4006,17,835,564,615,2409,1225,1396,568,10.0265,0,1.66834,0,9
45,269,6047,0,0,6021,26,24,3665,22,4116,19,974,663,689,2423,1279,1530,629,10.4019,0,1.69952,0,9
46,269,5878,0,0,5838,40,34,3666,23,4114,21,912,608,652,2495,1190,1459,614,10.4457,0,1.69895,0,9
47,269,5872,0,0,5836,36,30,3612,21,3941,22,891,642,668,2382,1267,1420,560,9.53678,0,1.65044,0,9
48,269,5797,0,0,5753,44,38,3607,23,4012,22,898,580,656,2413,1228,1375,568,9.79817,0,1.67001,0,9
49,269,5848,0,0,5805,43,40,3606,22,3969,26,901,604,663,2416,1238,1449,610,10.4309,0,1.6581,0,9
50,269,5683,0,0,5637,46,41,3536,24,3918,22,905,575,592,2344,1245,1447,625,10.9977,0,1.6442,0,9
51,269,5744,0,0,5700,44,43,3653,24,4061,18,872,560,608,2403,1283,1349,562,9.78412,0,1.68379,0,9
52,269,5783,0,0,5736,47,44,3524,22,4057,25,944,607,600,2331,1276,1422,567,9.8046,0,1.68265,0,9
53,269,5857,0,0,5808,49,45,3605,21,3905,22,945,618,614,2457,1201,1388,587,10.0222,0,1.64069,0,9
54,269,5756,0,0,5716,40,34,3600,27,4023,11,885,536,643,2454,1227,1410,547,9.50313,0,1.67308,0,9
55,269,5897,0,0,5871,26,23,3549,22,3973,16,970,659,649,2360,1243,1394,598,10.1407,0,1.6592,0,9
56,269,5881,0,0,5876,5,3,3710,22,4094,20,907,568,660,2532,1194,1500,608,10.3384,0,1.69319,0,9
57,269,5811,0,0,5766,45,40,3660,21,4072,28,866,610,648,2398,1261,1393,559,9.61969,0,1.68691,0,9
58,269,5908,0,0,5872,36,34,3674,23,4078,17,919,626,666,2389,1291,1513,594,10.0542,0,1.68862,0,9
59,269,5775,0,0,5750,25,19,3604,22,4026,17,899,583,616,2375,1285,1371,601,10.4069,0,1.67392,0,9
60,269,5719,0,0,5685,34,33,3542,23,3909,21,926,555,592,2411,1214,1358,510,8.91764,0,1.64177,0,9
61,269,5801,0,0,5787,14,7,3578,22,4023,21,900,594,642,2416,1228,1431,577,9.94656,0,1.67308,0,9
62,269,5898,0,0,5843,55,49,3548,21,3994,23,948,642,672,2315,1298,1424,605,10.2577,0,1.665,0,9
63,269,5909,0,0,5852,57,56,3667,22,4048,23,924,600,622,2461,1279,1457,640,10.8309,0,1.68011,0,9
64,269,5939,0,0,5884,55,49,3616,22,3990,21,953,672,677,2382,1234,1478,629,10.591,0,1.66389,0,9
65,269,5952,0,0,5922,30,24,3730,26,4097,10,891,667,621,2492,1271,1521,597,10.0302,0,1.69405,0,9
66,269,6052,0,0,6024,28,23,3671,22,4039,17,947,670,696,2403,1319,1519,636,10.5089,0,1.67757,0,9
67,269,5836,0,0,5799,37,34,3686,23,4165,27,964,505,629,2402,1309,1414,597,10.2296,0,1.7138,0,9
68,269,5907,0,0,5875,32,27,3593,24,4028,20,923,695,624,2378,1267,1489,627,10.6145,0,1.67448,0,9
69,269,5996,0,0,5949,47,45,3686,24,4040,11,977,682,626,2400,1300,1423,578,9.63976,0,1.67785,0,9
70,269,5867,0,0,5814,53,46,3633,23,4067,19,953,578,653,2358,1306,1384,599,10.2096,0,1.68549,0,9
71,269,5926,0,0,5904,22,17,3689,22,4119,22,946,586,609,2423,1340,1495,619,10.4455,0,1.70039,0,9
72,269,5859,0,0,5826,33,25,3580,21,3932,27,910,595,668,2374,1285,1461,601,10.2577,0,1.64799,0,9
73,269,6007,0,0,5978,29,24,3671,23,4046,17,954,647,667,2528,1194,1465,569,9.47228,0,1.67954,0,9
74,269,5669,0,0,5638,31,27,3603,22,4064,20,827,493,629,2395,1305,1412,573,10.1076,0,1.68464,0,9
75,269,5764,0,0,5714,50,47,3666,21,4016,35,918,509,618,2391,1293,1476,617,10.7044,0,1.67112,0,9
76,269,5872,0,0,5840,32,28,3689,23,4134,18,924,602,596,2484,1248,1483,610,10.3883,0,1.70474,0,9
77,269,5914,0,0,5877,37,32,3662,23,4157,28,933,576,658,2452,1267,1450,606,10.2469,0,1.71145,0,9
78,269,5822,0,0,5794,28,28,3583,24,4007,18,940,613,635,2420,1196,1382,573,9.84198,0,1.66861,0,9
79,269,5777,0,0,5753,24,20,3594,23,3969,18,899,583,648,2451,1178,1439,590,10.2129,0,1.6581,0,9
80,269,5640,0,0,5612,28,24,3538,22,4012,23,893,502,597,2415,1210,1400,554,9.8227,0,1.67001,0,9
81,269,5962,0,0,5942,20,18,3696,22,4078,24,972,620,613,2452,1281,1491,617,10.3489,0,1.68862,0,9
82,269,5786,0,0,5775,11,9,3604,24,3944,18,877,560,631,2388,1312,1443,612,10.5773,0,1.65125,0,9
83,269,5837,0,0,5819,18,18,3599,24,4006,16,969,549,659,2430,1214,1411,613,10.502,0,1.66834,0,9
84,269,6035,0,0,6007,28,26,3669,23,4139,15,973,654,663,2543,1187,1536,627,10.3894,0,1.70619,0,9
85,269,5732,0,0,5701,31,25,3601,22,3941,19,910,554,591,2367,1291,1390,550,9.59525,0,1.65044,0,9
