Run,Time step,Infections,Exposed,Infectious,Recovered,Dead,ICU full,Peak,Peak time,Peak total,Initial,Home,School,Block,Work,Taxi,Tests,Positive,% Detected,Quarantines,R0,Tracing,TaT
0,269,5557,0,0,5523,34,32,3655,23,4035,17,855,410,540,2454,1281,11503,2037,36.6565,10130,1.67645,1,10
1,269,5501,0,0,5466,35,29,3707,23,4184,24,867,359,521,2469,1261,10792,1954,35.5208,9595,1.71939,1,10
2,269,5437,0,0,5412,25,23,3604,24,4027,15,772,423,558,2438,1231,10758,1932,35.5343,9567,1.6742,1,10
3,269,5409,0,0,5357,52,50,3598,22,3928,21,855,382,538,2329,1284,11201,1962,36.2729,9934,1.6469,1,10
4,269,5634,0,0,5609,25,20,3745,22,4258,21,884,365,591,2465,1308,11147,2055,36.475,9852,1.74155,1,10
5,269,5674,0,0,5645,29,28,3736,22,4153,26,851,426,598,2458,1315,11415,2074,36.5527,10153,1.71028,1,10
6,269,5536,0,0,5523,13,9,3609,22,3981,14,806,494,565,2444,1213,11317,2037,36.7955,9968,1.66141,1,10
7,269,5518,0,0,5498,20,16,3586,22,3984,18,786,437,588,2391,1298,11107,2028,36.7524,9860,1.66223,1,10
8,269,5431,0,0,5405,26,21,3662,25,3990,20,781,386,550,2422,1272,10590,1982,36.4942,9483,1.66389,1,10
9,269,5532,0,0,5490,42,39,3655,24,4082,14,848,392,572,2398,1308,10822,2023,36.5691,9698,1.68976,1,10
10,269,5479,0,0,5436,43,36,3664,25,4062,17,842,358,562,2460,1240,10809,1956,35.6999,9505,1.68407,1,10
11,269,5501,0,0,5459,42,39,3594,25,4042,20,813,440,577,2431,1220,11195,2002,36.3934,9965,1.67842,1,10
12,269,5454,0,0,5422,32,29,3541,26,4004,19,776,470,557,2457,1175,11316,1975,36.212,10013,1.66778,1,10
13,269,5502,0,0,5476,26,23,3655,24,4108,14,880,384,564,2455,1205,11085,2065,37.5318,9926,1.69722,1,10
14,269,5468,0,0,5439,29,28,3529,26,3945,15,832,446,590,2383,1202,11140,1979,36.1924,9807,1.65153,1,10
15,269,5495,0,0,5468,27,23,3667,22,4074,17,868,390,550,2398,1272,11137,2024,36.8335,9891,1.68748,1,10
