Run,Time step,Infections,Exposed,Infectious,Recovered,Dead,ICU full,Peak,Peak time,Peak total,Initial,Home,School,Block,Work,Taxi,Tests,Positive,% Detected,Quarantines,R0,Tracing,TaT
0,269,4956,0,0,4913,43,42,3582,24,4018,19,613,254,362,2470,1238,1196,916,18.4826,7861,1.67168,1,3
1,269,4924,0,0,4902,22,18,3616,23,4082,14,630,218,357,2428,1277,1228,951,19.3136,7918,1.68976,1,3
2,269,4845,0,0,4811,34,31,3455,24,3926,22,619,252,392,2326,1234,1223,896,18.4933,7317,1.64636,1,3
3,269,4947,0,0,4895,52,51,3621,22,4016,13,613,245,355,2445,1276,1202,876,17.7077,7477,1.67112,1,3
4,269,4967,0,0,4897,70,64,3567,23,4020,16,641,268,383,2440,1219,1214,892,17.9585,7672,1.67224,1,3
5,269,4813,0,0,4777,36,33,3529,24,3969,25,556,232,371,2423,1206,1184,890,18.4916,7537,1.6581,1,3
6,269,4902,0,0,4857,45,41,3617,23,4101,24,573,208,401,2431,1265,1168,858,17.5031,7597,1.6952,1,3
7,269,4881,0,0,4844,37,34,3505,26,4038,27,607,242,376,2352,1277,1232,939,19.2379,7870,1.67729,1,3
8,269,4986,0,0,4941,45,43,3554,23,3908,19,638,304,410,2344,1271,1176,894,17.9302,7920,1.6415,1,3
9,269,4758,0,0,4718,40,36,3475,21,3840,28,552,218,346,2412,1202,1174,876,18.4111,7612,1.62338,1,3
10,269,4950,0,0,4918,32,31,3569,22,3973,24,660,249,380,2468,1169,1172,888,17.9394,7741,1.6592,1,3
11,269,4989,0,0,4960,29,23,3608,26,4039,15,648,212,385,2445,1284,1235,950,19.0419,7812,1.67757,1,3
12,269,4828,0,0,4812,16,15,3498,23,3928,17,584,244,365,2380,1238,1176,904,18.7241,7661,1.6469,1,3
13,269,4948,0,0,4923,25,22,3628,22,3971,21,615,244,380,2400,1288,1231,959,19.3816,7946,1.65865,1,3
