Run,Time step,Infections,Exposed,Infectious,Recovered,Dead,ICU full,Peak,Peak time,Peak total,Initial,Home,School,Block,Work,Taxi,Tests,Positive,% Detected,Quarantines,R0,Tracing,TaT
0,269,4894,0,0,4850,44,40,3623,24,3954,17,596,186,402,2501,1192,12271,3927,80.2411,12854,1.65399,1,5
1,269,4835,0,0,4813,22,21,3545,24,3907,18,596,217,405,2311,1288,12212,3925,81.1789,12778,1.64123,1,5
2,269,4971,0,0,4923,48,44,3614,21,4080,24,600,222,402,2434,1289,11935,4008,80.6276,12619,1.68919,1,5
3,269,4907,0,0,4872,35,34,3592,22,4009,18,603,212,419,2460,1195,12878,3973,80.966,13339,1.66917,1,5
4,269,4934,0,0,4922,12,7,3615,24,4036,19,686,237,371,2428,1193,12245,3957,80.1986,12785,1.67673,1,5
5,269,4913,0,0,4875,38,32,3605,25,3994,16,606,212,408,2451,1220,12574,3944,80.2768,13125,1.665,1,5
6,269,4954,0,0,4912,42,40,3650,22,4028,15,627,213,388,2482,1229,12826,4026,81.2677,13335,1.67448,1,5
7,269,4980,0,0,4963,17,12,3682,21,4061,24,665,187,356,2497,1251,12711,3999,80.3012,13217,1.68379,1,5
8,269,4892,0,0,4848,44,40,3602,21,3902,17,616,190,385,2487,1197,12403,3959,80.928,12931,1.63988,1,5
9,269,4867,0,0,4847,20,16,3543,23,4057,19,610,213,393,2394,1238,12390,3964,81.4465,12974,1.68265,1,5
10,269,4942,0,0,4909,33,30,3603,22,3927,18,634,242,407,2365,1276,12692,4053,82.0113,13292,1.64663,1,5
11,269,4938,0,0,4891,47,46,3590,23,4002,19,644,247,372,2429,1227,12480,3954,80.0729,13090,1.66722,1,5
12,269,4999,0,0,4965,34,27,3617,23,4087,17,650,255,405,2398,1274,12445,3966,79.3359,12902,1.69119,1,5
13,269,4893,0,0,4852,41,37,3580,23,4015,23,632,171,382,2474,1211,12507,3998,81.7086,13177,1.67084,1,5
14,269,4836,0,0,4771,65,59,3554,23,3931,13,618,207,407,2311,1280,12137,3863,79.8801,12693,1.64772,1,5
15,269,5026,0,0,4989,37,33,3715,23,4115,20,688,184,403,2508,1223,12179,4056,80.7004,12850,1.69924,1,5
16,269,4800,0,0,4771,29,26,3502,24,3911,17,577,219,359,2351,1277,12065,3798,79.125,12479,1.64231,1,5
17,269,4937,0,0,4905,32,30,3633,25,3980,15,635,216,395,2380,1296,12306,3950,80.0081,12874,1.66113,1,5
18,269,4933,0,0,4917,16,13,3597,23,4033,25,606,261,377,2464,1200,13073,4075,82.6069,13631,1.67588,1,5
