Run,Time step,Infections,Exposed,Infectious,Recovered,Dead,ICU full,Peak,Peak time,Peak total,Initial,Home,School,Block,Work,Taxi,Tests,Positive,% Detected,Quarantines,R0,Tracing,TaT
0,269,4802,0,0,4775,27,25,3490,25,4018,23,504,256,371,2416,1232,1175,881,18.3465,7518,1.67168,1,2
1,269,4759,0,0,4725,34,31,3493,22,3904,27,580,241,325,2338,1248,1184,894,18.7855,7500,1.64042,1,2
2,269,4788,0,0,4723,65,63,3635,23,3987,21,500,207,330,2431,1299,1179,934,19.5071,7827,1.66306,1,2
3,269,4882,0,0,4826,56,56,3570,23,3987,16,546,267,355,2479,1219,1198,901,18.4556,7721,1.66306,1,2
4,269,4716,0,0,4659,57,52,3386,24,3910,24,557,224,326,2337,1248,1121,853,18.0874,7240,1.64204,1,2
5,269,4802,0,0,4767,35,33,3599,23,3996,15,555,211,309,2480,1232,1173,889,18.5131,7423,1.66556,1,2
6,269,4764,0,0,4729,35,33,3470,24,3961,25,543,239,328,2343,1286,1229,926,19.4374,7689,1.6559,1,2
7,269,4969,0,0,4934,35,31,3703,23,4115,17,614,204,399,2450,1285,1202,887,17.8507,7396,1.69924,1,2
8,269,4733,0,0,4695,38,38,3522,22,3959,16,577,198,313,2435,1194,1228,950,20.0718,7777,1.65536,1,2
9,269,4739,0,0,4707,32,31,3481,23,3940,16,530,222,325,2508,1138,1161,860,18.1473,7380,1.65017,1,2
10,269,4754,0,0,4731,23,17,3439,24,3880,23,539,253,353,2351,1235,1205,903,18.9945,7620,1.63399,1,2
11,269,4813,0,0,4752,61,57,3514,23,3993,19,548,243,376,2397,1230,1163,877,18.2215,7463,1.66472,1,2
12,269,4786,0,0,4765,21,20,3543,21,3944,28,493,235,365,2420,1245,1159,859,17.9482,7294,1.65125,1,2
13,269,4774,0,0,4744,30,25,3521,25,4013,19,552,234,361,2366,1242,1207,899,18.8312,7582,1.67029,1,2
14,269,4902,0,0,4860,42,41,3539,21,4025,23,549,306,364,2432,1228,1202,923,18.829,8126,1.67364,1,2
15,269,4824,0,0,4788,36,34,3624,25,4037,17,520,209,350,2507,1221,1191,915,18.9677,7620,1.67701,1,2
16,269,4785,0,0,4754,31,31,3463,24,3888,15,561,220,355,2312,1322,1188,902,18.8506,7706,1.63613,1,2
17,269,4791,0,0,4767,24,23,3484,23,3934,18,536,229,368,2427,1213,1183,900,18.7852,7738,1.64853,1,2
18,269,4682,0,0,4646,36,33,3520,21,3938,21,549,167,331,2389,1225,1206,916,19.5643,7527,1.64962,1,2
19,269,4811,0,0,4778,33,29,3559,24,4007,12,556,227,334,2451,1231,1195,922,19.1644,7593,1.66861,1,2
20,269,4807,0,0,4793,14,11,3564,21,3992,23,503,234,359,2438,1250,1147,861,17.9114,7393,1.66445,1,2
21,269,4844,0,0,4805,39,36,3571,22,4062,24,515,216,386,2508,1195,1206,904,18.6623,7421,1.68407,1,2
22,269,4753,0,0,4711,42,38,3554,24,3953,17,515,212,338,2404,1267,1163,880,18.5146,7530,1.65371,1,2
23,269,4802,0,0,4755,47,43,3581,24,3945,16,510,237,321,2510,1208,1193,878,18.284,7493,1.65153,1,2
24,269,4762,0,0,4701,61,58,3551,22,3993,28,581,205,326,2381,1241,1148,837,17.5766,7411,1.66472,1,2
