Run,Time_step,latent_infections,agents_ever_latent,total_latent_cases,agents_ever_active,total_active_cases,total_subclinical_cases,Infectious,Recovered,Dead,Dead_natural,Births,Live_pop,Peak,Peak_time,Peak_total,Initial,HIV,Home,School,Block,Work,Taxi,Tests,Positive,P_Detected,Quarantines,R0,total_x_ray,agents_ever_x_ray,x_ray_refs,Tracing,mass_x_ray,tut,tat,incidence_100k,total_time_infectious,total_time_active,mean_time_infectious,mean_time_active
861,363,6218,5394,5394,525,525,588,110,792,103,1395,1543,20045,74,336,461,401,2590,813,701,598,2330,1397,1479,320,54.4218,847,1.02187,12364,7216,27,1,1,0,1,260,26720,12141,45.4422,23.3931
861,415,7194,6238,6238,651,651,708,111,881,137,1595,1763,20031,74,336,461,401,2590,963,806,703,2725,1617,1799,406,57.3446,1044,1.02164,14110,8015,32,1,1,0,1,325,32739,14990,46.2415,23.2043
861,467,8005,6925,6925,748,748,807,93,968,164,1791,1980,20025,74,336,461,401,2590,1080,913,796,3059,1779,2141,478,59.2317,1241,1.02142,15819,8865,36,1,1,0,1,370,38088,17819,47.197,23.9825
861,519,8661,7469,7469,848,848,906,90,1043,193,1992,2200,20015,74,336,461,401,2590,1184,1043,870,3302,1882,2432,544,60.0442,1419,1.02121,17207,9404,38,1,1,0,1,420,42948,20319,47.404,24.0746
862,51,644,560,560,13,13,35,30,400,0,195,225,20030,9,48,12,404,2604,28,19,17,155,21,36,8,22.8571,26,1.00059,1088,1088,1,1,1,0,1,5,617,82,17.6286,6.30769
862,103,1098,976,976,55,55,75,38,420,3,398,445,20044,21,82,35,399,2604,115,81,62,324,121,149,29,38.6667,93,1.00171,2675,2143,3,1,1,0,1,25,2842,948,37.8933,17.5556
862,155,1646,1454,1454,93,93,129,50,450,11,596,659,20052,24,125,70,400,2604,198,163,113,518,264,278,50,38.7597,166,1.0034,4550,3199,3,1,1,0,1,45,5296,1980,41.0543,21.5217
862,207,2372,2095,2095,151,151,189,65,495,18,796,874,20060,30,202,144,404,2604,284,220,182,854,435,470,91,48.1481,275,1.00695,6502,4253,3,1,1,0,1,75,7924,3156,41.9259,21.04
862,259,3046,2685,2685,220,220,252,52,540,37,996,1093,20060,32,243,201,403,2604,383,246,231,1153,647,737,141,55.9524,429,1.00962,8523,5297,4,1,1,0,1,110,10981,4444,43.5754,20.2922
862,311,3938,3458,3458,294,294,338,77,591,50,1193,1308,20065,36,311,294,403,2604,470,278,308,1613,879,959,189,55.9172,552,1.01399,10623,6329,5,1,1,0,1,145,14511,5891,42.932,20.244
862,363,4911,4292,4292,391,391,442,94,656,69,1393,1526,20064,46,359,381,403,2604,608,331,420,2044,1121,1229,244,55.2036,715,1.01802,12581,7261,7,1,1,0,1,195,19123,7875,43.2647,20.4016
862,415,5864,5128,5128,482,482,549,98,736,89,1592,1748,20067,54,375,417,403,2604,740,371,503,2500,1364,1529,315,57.377,886,1.01955,14404,8096,12,1,1,0,1,240,23994,9961,43.7049,20.7954
862,467,6786,5918,5918,589,589,653,110,813,105,1796,1968,20067,60,461,581,403,2604,890,453,613,2898,1548,1821,379,58.0398,1041,1.02717,16135,8909,16,1,1,0,1,290,29379,12484,44.9908,21.3038
862,519,7479,6493,6493,687,687,729,83,890,135,1997,2183,20051,60,461,581,403,2604,1030,496,683,3195,1686,2059,439,60.2195,1189,1.0269,17522,9442,19,1,1,0,1,340,34251,14898,46.9835,21.8126
863,51,667,586,586,10,10,29,24,445,0,196,219,20023,7,44,9,437,2606,26,8,8,154,34,36,8,27.5862,15,1.00045,1079,1079,0,1,1,0,1,5,576,106,19.8621,11.7778
863,103,1214,1065,1065,52,52,77,51,460,4,396,440,20040,26,102,51,437,2606,85,80,47,434,132,107,27,35.0649,66,1.0025,2649,2167,1,1,1,0,1,25,2414,769,31.3506,15.0784
863,155,1820,1584,1584,106,106,139,63,500,13,595,657,20049,31,142,93,438,2606,192,197,114,591,292,269,60,43.1655,146,1.00452,4442,3184,1,1,1,0,1,50,5218,2024,37.5396,19.2762
863,207,2606,2276,2276,173,173,221,71,548,31,798,876,20047,36,172,132,438,2606,311,286,190,861,528,481,107,48.4163,277,1.00636,6324,4224,3,1,1,0,1,85,8745,3609,39.5701,20.9826
863,259,3509,3058,3058,253,253,300,74,611,48,995,1097,20054,39,233,225,439,2606,408,376,264,1285,746,719,157,52.3333,410,1.01078,8294,5253,5,1,1,0,1,125,12534,5207,41.78,20.745
863,311,4341,3774,3774,337,337,385,81,672,62,1193,1316,20061,41,305,332,439,2606,516,445,349,1644,961,992,211,54.8052,573,1.01582,10286,6274,14,1,1,0,1,165,16419,6774,42.6468,20.2209
863,363,5259,4575,4575,441,441,489,88,742,85,1391,1535,20059,50,348,412,439,2606,655,520,433,2014,1214,1307,277,56.6462,747,1.0195,12219,7239,14,1,1,0,1,220,21232,8940,43.4192,20.411
863,415,6257,5461,5461,540,540,588,96,804,115,1591,1755,20049,60,406,524,439,2606,791,572,544,2476,1449,1555,337,57.3129,894,1.02468,14015,8081,20,1,1,0,1,270,26426,11614,44.9422,21.7084
863,467,7053,6145,6145,628,628,689,98,875,148,1791,1976,20037,63,434,577,439,2606,923,654,640,2794,1614,1784,381,55.2975,1031,1.02696,15664,8883,24,1,1,0,1,310,31495,14290,45.7112,22.9743
863,519,7734,6722,6722,721,721,761,76,950,169,1988,2195,20038,63,434,577,439,2606,1040,747,729,3022,1766,2017,434,57.0302,1168,1.02669,17018,9407,28,1,1,0,1,360,36216,16953,47.59,23.5786
864,51,701,605,605,21,21,41,28,450,0,196,220,20024,11,42,18,407,2621,37,36,24,157,40,74,15,36.5854,44,1.00089,1052,1052,1,1,1,0,1,10,965,255,23.5366,12.1429
864,103,1334,1158,1158,59,59,84,44,478,3,397,436,20036,19,102,58,410,2621,116,83,72,527,127,152,37,44.0476,90,1.00285,2612,2066,1,1,1,0,1,25,2715,903,32.3214,15.569
864,155,1944,1695,1695,114,114,141,54,509,14,597,651,20040,32,145,106,409,2621,205,151,130,758,296,329,69,48.9362,191,1.00516,4476,3154,3,1,1,0,1,55,5422,2157,38.4539,18.9211
864,207,2803,2452,2452,178,178,226,89,547,26,795,872,20051,42,202,174,408,2621,311,261,221,1047,561,488,105,46.4602,291,1.00841,6488,4238,5,1,1,0,1,85,9013,3713,39.8805,21.2171
864,259,3796,3333,3333,278,278,307,72,615,47,993,1091,20051,45,209,184,408,2621,451,357,308,1467,818,780,161,52.443,450,1.0088,8555,5284,5,1,1,0,1,135,13320,5745,43.3876,20.8152
864,311,4758,4172,4172,350,350,405,87,677,68,1193,1309,20048,45,209,184,408,2621,580,419,395,1913,1057,1015,208,51.358,602,1.00871,10537,6290,10,1,1,0,1,175,17559,7633,43.3556,22.0607
864,363,5739,5034,5034,458,458,513,102,754,84,1392,1534,20058,49,360,450,408,2621,718,497,497,2377,1259,1311,274,53.4113,782,1.02134,12425,7210,13,1,1,0,1,225,22635,9775,44.1228,21.4835
864,415,6857,5985,5985,577,577,640,118,833,111,1593,1750,20046,66,386,515,407,2621,881,578,620,2932,1457,1633,350,54.6875,969,1.02425,14183,8050,17,1,1,0,1,285,28650,12738,44.7656,22.2304
864,467,7656,6671,6671,696,696,737,102,922,137,1792,1969,20040,66,386,515,408,2621,1020,672,714,3254,1607,1949,420,56.9878,1147,1.024,15935,8931,22,1,1,0,1,345,34479,15659,46.7829,22.5634
864,519,8181,7102,7102,777,777,825,83,1002,162,1992,2191,20037,66,386,515,407,2621,1122,735,782,3456,1700,2194,470,56.9697,1287,1.02376,17314,9433,24,1,1,0,1,385,39054,18079,47.3382,23.3277
865,51,687,597,597,17,17,33,28,446,0,198,225,20027,13,49,17,404,2595,38,9,17,183,36,29,7,21.2121,17,1.00084,1059,1059,1,1,1,0,1,5,811,204,24.5758,12
865,103,1344,1172,1172,57,57,97,59,464,7,395,446,20044,24,94,50,400,2595,127,47,83,465,227,129,28,28.866,68,1.00245,2719,2182,3,1,1,0,1,25,3202,1090,33.0103,20.1852
865,155,2246,1959,1959,121,121,158,66,511,18,591,667,20058,34,134,103,399,2595,243,102,167,857,483,311,67,42.4051,166,1.00501,4620,3275,4,1,1,0,1,60,6411,2512,40.5759,20.9333
865,207,3346,2924,2924,218,218,275,107,558,34,795,886,20057,57,201,206,399,2595,395,195,267,1363,743,587,127,46.1818,313,1.00996,6595,4304,11,1,1,0,1,105,10929,4516,39.7418,21.1028
865,259,4628,4014,4014,318,318,392,117,642,60,997,1108,20051,57,201,206,397,2595,578,275,385,1938,1064,874,190,48.4694,495,1.00986,8595,5337,17,1,1,0,1,155,16448,7058,41.9592,22.4777
865,311,6025,5232,5232,475,475,552,158,736,83,1193,1330,20054,83,311,475,398,2595,812,343,524,2535,1427,1309,282,51.087,734,1.02278,10629,6383,24,1,1,0,1,235,23924,10273,43.3406,21.9041
