Run,Time_step,latent_infections,agents_ever_latent,total_latent_cases,agents_ever_active,total_active_cases,total_subclinical_cases,Infectious,Recovered,Dead,Dead_natural,Births,Live_pop,Peak,Peak_time,Peak_total,Initial,HIV,Home,School,Block,Work,Taxi,Tests,Positive,P_Detected,Quarantines,R0,total_x_ray,agents_ever_x_ray,x_ray_refs,Tracing,mass_x_ray,tut,tat,incidence_100k,total_time_infectious,total_time_active,mean_time_infectious,mean_time_active
827,155,1491,1316,1316,82,82,109,38,447,7,593,662,20062,20,93,35,389,2554,144,121,92,483,267,7377,56,51.3761,154,1.0017,4318,3101,3,1,1,1,1,40,3748,1456,34.3853,18.4304
827,207,2056,1805,1805,136,136,162,46,486,13,796,884,20075,27,203,133,390,2554,213,174,147,709,430,9778,98,60.4938,270,1.00641,6210,4112,5,1,1,1,1,65,5995,2535,37.0062,18.9179
827,259,2764,2424,2424,197,197,232,55,542,21,999,1108,20088,30,237,174,391,2554,292,228,210,1021,628,12181,144,62.069,397,1.00831,8095,5051,8,1,1,1,1,95,8819,3846,38.0129,19.7231
827,311,3580,3132,3132,273,273,309,71,586,34,1195,1329,20100,42,290,248,391,2554,405,256,292,1388,856,14568,191,61.8123,526,1.01176,10054,6082,9,1,1,1,1,135,12349,5595,39.9644,20.7222
827,363,4497,3930,3930,362,362,404,81,642,57,1396,1549,20096,44,363,362,391,2554,547,284,379,1797,1113,17020,258,63.8614,709,1.01709,11973,7028,10,1,1,1,1,180,16324,7395,40.4059,20.7143
827,415,5377,4687,4687,453,453,503,83,724,71,1594,1772,20107,45,387,403,391,2554,666,335,454,2237,1310,19524,328,65.2087,946,1.01886,13741,7861,13,1,1,1,1,225,20738,9371,41.2286,20.8244
827,467,6015,5225,5225,544,544,581,64,794,92,1792,1987,20103,49,452,522,391,2554,769,393,535,2466,1479,21949,402,69.191,1135,1.02432,15435,8673,16,1,1,1,1,270,24902,11392,42.8606,21.1354
827,519,6791,5897,5897,630,630,671,79,855,107,1994,2208,20107,49,452,522,391,2554,852,420,596,2930,1622,24307,457,68.1073,1285,1.02407,16913,9249,17,1,1,1,1,315,28611,12889,42.6393,20.5895
828,51,664,584,584,14,14,32,26,423,0,196,223,20027,9,51,14,401,2624,24,16,14,188,21,2398,10,31.25,32,1.00069,968,968,0,1,1,1,1,5,758,84,23.6875,7
828,103,1218,1084,1084,60,60,83,43,451,3,397,445,20045,23,103,60,401,2624,87,67,63,447,155,5246,42,50.6024,110,1.00294,2572,2088,2,1,1,1,1,30,2573,802,31,13.5932
828,155,1719,1526,1526,104,104,129,43,489,13,595,663,20055,25,113,70,403,2624,163,116,122,617,303,7782,80,62.0155,218,1.0034,4423,3157,3,1,1,1,1,50,4758,1865,36.8837,18.1068
828,207,2313,2053,2053,151,151,176,43,521,25,793,878,20060,25,113,70,403,2624,234,200,173,872,438,10248,108,61.3636,297,1.00336,6364,4212,3,1,1,1,1,75,6990,2874,39.7159,19.551
828,259,3119,2753,2753,215,215,247,57,566,30,996,1095,20069,33,250,202,403,2624,328,286,238,1229,648,12751,158,63.9676,437,1.00967,8318,5241,4,1,1,1,1,105,9912,4290,40.1296,20.3318
828,311,3880,3404,3404,286,286,326,68,622,43,1198,1317,20076,34,310,286,403,2624,423,374,307,1554,832,15300,212,65.0307,619,1.0136,10372,6323,7,1,1,1,1,140,13156,5696,40.3558,20.0563
828,363,4695,4123,4123,360,360,399,65,677,63,1395,1535,20077,41,337,332,403,2624,539,429,394,1897,1047,17823,268,67.1679,782,1.01566,12230,7179,11,1,1,1,1,180,16744,7484,41.9649,20.9636
