Run,Time_step,latent_infections,agents_ever_latent,total_latent_cases,agents_ever_active,total_active_cases,total_subclinical_cases,Infectious,Recovered,Dead,Dead_natural,Births,Live_pop,Peak,Peak_time,Peak_total,Initial,HIV,Home,School,Block,Work,Taxi,Tests,Positive,P_Detected,Quarantines,R0,total_x_ray,agents_ever_x_ray,x_ray_refs,Tracing,mass_x_ray,tut,tat,incidence_100k,total_time_infectious,total_time_active,mean_time_infectious,mean_time_active
601,311,6167,5404,5404,531,531,606,137,748,77,1189,1312,20046,73,309,525,376,2700,764,382,546,2684,1440,16317,388,64.0264,1036,1.02526,10088,6127,17,1,1,1,1,265,25025,10832,41.2954,20.5541
601,363,7312,6387,6387,668,668,750,134,865,109,1393,1531,20029,74,312,533,376,2700,941,480,668,3190,1681,19139,493,65.7333,1342,1.02538,12070,7146,22,1,1,1,1,330,32106,14138,42.808,21.2282
601,415,8324,7236,7236,821,821,904,142,978,144,1589,1756,20023,76,365,678,376,2700,1112,553,782,3645,1877,21901,599,66.2611,1628,1.03217,13899,7988,27,1,1,1,1,410,39307,17810,43.4812,21.9065
601,467,8974,7810,7810,952,952,1005,90,1091,178,1792,1977,20007,76,365,678,376,2700,1258,639,860,3906,1969,24594,695,69.1542,1893,1.03183,15611,8824,30,1,1,1,1,475,45578,21188,45.3512,22.3975
601,519,9385,8134,8134,1025,1025,1056,45,1182,196,1989,2197,20012,76,365,678,376,2700,1326,723,907,4057,2017,27079,755,71.4962,2046,1.03151,16979,9360,32,1,1,1,1,510,49153,23350,46.5464,22.8922
602,51,669,605,605,14,14,33,26,430,0,196,217,20021,9,49,13,390,2552,18,15,13,205,28,2340,10,30.303,29,1.00064,1053,1053,1,1,1,1,1,5,608,135,18.4242,10.3846
602,103,1230,1092,1092,57,57,91,46,457,6,395,435,20034,20,87,47,386,2552,95,50,61,466,176,5153,41,45.0549,123,1.00231,2623,2100,2,1,1,1,1,25,2589,826,28.4505,14.75
602,155,2131,1900,1900,119,119,163,59,504,14,595,660,20051,29,124,88,388,2552,182,95,124,918,434,7633,90,55.2147,236,1.00428,4489,3200,4,1,1,1,1,55,5351,2022,32.8282,17.5826
602,207,3235,2853,2853,213,213,270,98,560,24,798,880,20058,46,207,213,388,2552,319,151,198,1406,787,10155,152,56.2963,406,1.01031,6446,4246,5,1,1,1,1,105,9684,3693,35.8667,17.7548
602,259,4879,4288,4288,354,354,435,138,658,46,992,1099,20061,64,242,312,388,2552,502,220,329,2298,1158,12862,252,57.931,684,1.01501,8458,5285,10,1,1,1,1,175,16076,6462,36.9563,18.5158
602,311,6298,5511,5511,526,526,614,142,787,77,1196,1325,20052,80,279,419,388,2552,709,308,471,2963,1486,15678,380,61.8893,1006,1.02004,10460,6328,15,1,1,1,1,260,23915,9970,38.9495,19.0996
602,363,7447,6476,6476,687,687,774,140,936,101,1394,1546,20051,82,323,574,388,2552,892,413,606,3473,1698,18475,514,66.4083,1367,1.02737,12454,7280,20,1,1,1,1,340,31587,13462,40.8101,19.739
602,415,8285,7182,7182,846,846,898,112,1064,123,1592,1767,20052,82,323,574,388,2552,1082,542,713,3772,1811,21196,635,70.7127,1695,1.02708,14276,8137,23,1,1,1,1,420,38368,16841,42.7261,20.0012
602,467,8887,7686,7686,943,943,979,69,1165,152,1789,1995,20054,82,323,574,388,2552,1201,664,794,3997,1862,23743,717,73.238,1908,1.0268,16068,9013,26,1,1,1,1,470,43231,19538,44.1583,20.8739
602,519,9244,7980,7980,1012,1012,1041,49,1235,167,1991,2217,20059,82,323,574,388,2552,1289,747,836,4096,1904,26114,772,74.1595,2047,1.02652,17471,9524,29,1,1,1,1,505,46578,21412,44.7435,21.2843
603,51,694,615,615,16,16,36,28,434,0,195,223,20028,11,48,15,389,2423,34,44,20,177,30,2211,10,27.7778,33,1.00074,994,994,0,1,1,1,1,5,767,148,21.3056,9.86667
603,103,1218,1074,1074,58,58,91,48,464,2,395,439,20042,22,100,56,386,2423,96,141,68,393,139,4855,39,42.8571,110,1.00275,2591,2085,1,1,1,1,1,25,2936,921,32.2637,15.8793
603,155,2041,1791,1791,126,126,169,71,510,11,593,658,20054,33,143,112,389,2423,188,230,151,713,374,7192,85,50.2959,221,1.00545,4427,3121,2,1,1,1,1,60,6121,2357,36.2189,19.0081
603,207,3379,2983,2983,216,216,293,109,569,24,795,888,20069,44,203,210,389,2423,333,318,252,1412,690,9640,152,51.8771,415,1.01016,6381,4130,4,1,1,1,1,105,10587,4184,36.1331,19.7358
603,259,4783,4215,4215,362,362,440,130,664,43,998,1106,20065,72,253,347,389,2423,530,413,381,1999,1097,12219,254,57.7273,725,1.01672,8391,5156,15,1,1,1,1,180,17183,7131,39.0523,19.919
603,311,6201,5444,5444,512,512,604,138,799,69,1196,1323,20058,73,269,395,389,2423,741,505,514,2667,1411,14881,376,62.2517,1063,1.01887,10347,6173,21,1,1,1,1,255,24358,10294,40.3278,20.1843
603,363,7269,6355,6355,680,680,742,118,923,97,1392,1548,20059,79,336,604,389,2423,923,581,649,3119,1635,17468,495,66.7116,1351,1.02884,12338,7189,23,1,1,1,1,340,31743,13974,42.7803,20.7329
603,415,8061,7026,7026,798,798,860,107,1020,127,1591,1772,20054,79,336,604,389,2423,1081,670,749,3432,1774,19966,587,68.2558,1595,1.02853,14162,8064,25,1,1,1,1,395,37909,17107,44.0802,21.6271
603,467,8700,7570,7570,895,895,942,76,1112,152,1792,1988,20044,79,336,604,389,2423,1182,792,809,3695,1864,22300,654,69.4268,1793,1.02825,15836,8855,25,1,1,1,1,445,42670,19668,45.2972,22.1736
603,519,9106,7904,7904,971,971,1013,59,1180,176,1988,2205,20041,79,336,604,389,2423,1266,869,861,3830,1917,24507,708,69.8914,1944,1.02796,17208,9397,28,1,1,1,1,485,46404,21668,45.8085,22.5239
604,51,572,507,507,12,12,26,20,412,0,197,217,20020,7,43,10,401,2497,21,30,13,102,5,2302,9,34.6154,25,1.00049,1022,1022,0,1,1,1,1,5,485,122,18.6538,11.0909
604,103,1105,975,975,60,60,87,47,442,3,400,440,20037,21,103,60,400,2497,90,88,69,379,82,5057,46,52.8736,137,1.00294,2684,2167,1,1,1,1,1,30,2483,787,28.5402,14.5741
604,155,1743,1534,1534,118,118,150,52,482,11,593,664,20060,23,110,67,400,2497,183,125,126,640,281,7542,89,59.3333,268,1.00325,4487,3186,2,1,1,1,1,55,4978,1776,33.1867,15.5789
604,207,2780,2444,2444,198,198,252,92,529,22,798,888,20068,45,201,189,400,2497,320,210,216,1105,544,9969,134,53.1746,393,1.00913,6439,4223,4,1,1,1,1,95,8777,3362,34.8294,17.3299
604,259,4165,3652,3652,310,310,379,111,611,43,998,1107,20066,60,233,254,400,2497,514,295,319,1713,940,12509,213,56.2005,624,1.01218,8417,5263,12,1,1,1,1,155,14447,6048,38.1187,19.8295
604,311,5552,4871,4871,448,448,521,130,708,73,1198,1329,20058,72,310,446,400,2497,671,373,447,2383,1293,15096,303,58.1574,891,1.02136,10376,6226,19,1,1,1,1,220,20970,9163,40.2495,20.684
604,363,6671,5815,5815,607,607,666,117,832,98,1396,1547,20053,78,341,543,400,2497,843,474,555,2885,1535,17779,427,64.1141,1229,1.02585,12248,7115,28,1,1,1,1,300,27652,12708,41.5195,21.2154
604,415,7564,6597,6597,731,731,794,102,937,132,1597,1763,20034,78,341,543,400,2497,975,600,653,3272,1692,20406,530,66.7506,1521,1.02559,14048,7971,31,1,1,1,1,365,33801,15765,42.5705,21.7749
604,467,8225,7170,7170,844,844,888,72,1037,156,1794,1990,20040,78,341,543,400,2497,1109,664,746,3527,1808,22935,617,69.482,1764,1.02532,15825,8871,34,1,1,1,1,420,38987,18427,43.9043,22.0419
604,519,8518,7404,7404,911,911,936,39,1102,181,1992,2212,20039,78,341,543,400,2497,1168,714,791,3616,1848,25289,670,71.5812,1919,1.02506,17264,9430,37,1,1,1,1,455,41795,20029,44.6528,22.1315
605,51,726,645,645,11,11,33,31,461,0,199,221,20022,10,48,11,402,2624,33,44,13,207,27,2365,6,18.1818,5,1.00054,1028,1028,0,1,1,1,1,5,715,167,21.6667,15.1818
605,103,1436,1282,1282,71,71,108,57,493,5,399,438,20034,35,95,68,398,2624,149,117,100,477,200,5265,52,48.1481,124,1.00334,2609,2072,1,1,1,1,1,35,3465,1320,32.0833,18.5915
605,155,2262,2003,2003,140,140,180,74,539,20,598,654,20036,40,155,140,402,2624,262,166,185,782,472,7741,91,50.5556,227,1.00682,4401,3082,3,1,1,1,1,70,6746,2864,37.4778,21.0588
605,207,3329,2941,2941,221,221,270,78,609,34,794,883,20055,41,156,142,402,2624,382,242,289,1253,771,10357,161,59.6296,431,1.00685,6244,4072,7,1,1,1,1,110,10662,4714,39.4889,21.9256
