"year","Scenario1","Scenario2","Scenario3","Scenario4","Scenario5"
1,81.67,82.26,82.695,82.495,82.615
2,281.345,280.72,278.63,278.245,277.445
3,385.24,374.82,369.205,357.39,354.95
4,573.26,550.66,540.77,503.175,491.765
5,776.425,745.32,721.465,667.395,646.97
6,900.225,857.525,837.515,767.52,746.815
7,885.39,848.595,826.84,766.2,749.54
8,736.655,713.955,705.885,667.985,658.8
9,542.185,535.825,533.59,520.62,510.345
10,360.169999999999,366.235,363.035,363.385,363.505
