Run,Time_step,latent_infections,agents_ever_latent,total_latent_cases,agents_ever_active,total_active_cases,total_subclinical_cases,Infectious,Recovered,Dead,Dead_natural,Births,Live_pop,Peak,Peak_time,Peak_total,Initial,HIV,Home,School,Block,Work,Taxi,Tests,Positive,P_Detected,Quarantines,R0,total_x_ray,agents_ever_x_ray,x_ray_refs,Tracing,mass_x_ray,tut,tat,incidence_100k,total_time_infectious,total_time_active,mean_time_infectious,mean_time_active
434,207,4853,4242,4242,348,348,439,162,633,51,794,883,20038,79,190,294,394,2560,629,328,394,2030,1101,956,206,46.9248,558,1.01428,6601,4302,10,1,1,0,1,170,17498,7368,39.8588,21.2948
434,259,6658,5809,5809,543,543,656,217,756,89,994,1111,20028,112,258,541,394,2560,915,499,565,2832,1479,1505,329,50.1524,892,1.0263,8599,5365,20,1,1,0,1,270,27707,11964,42.2363,22.1146
434,311,8235,7187,7187,769,769,861,186,916,145,1195,1333,19993,128,269,596,394,2560,1189,657,752,3483,1800,2146,468,54.3554,1278,1.02874,10532,6342,25,1,1,0,1,380,39375,17961,45.7317,23.54
434,363,9324,8092,8092,938,938,1022,160,1076,194,1393,1553,19966,128,269,596,394,2560,1390,806,876,3887,1994,2689,575,56.2622,1582,1.02844,12333,7200,30,1,1,0,1,465,48745,23029,47.6957,24.6299
434,415,9970,8647,8647,1081,1081,1131,119,1190,234,1590,1769,19945,128,269,596,394,2560,1517,935,968,4122,2057,3060,659,58.267,1802,1.02815,14050,8046,36,1,1,0,1,540,56193,27204,49.6844,25.2356
434,467,10304,8912,8912,1164,1164,1198,70,1279,267,1793,1991,19931,128,269,596,394,2560,1593,995,1022,4243,2074,3390,720,60.1002,1987,1.02786,15750,8887,40,1,1,0,1,580,60663,29731,50.6369,25.6081
434,519,10551,9120,9120,1217,1217,1240,43,1328,285,1985,2208,19938,128,269,596,394,2560,1648,1048,1061,4334,2085,3566,756,60.9677,2086,1.02758,17103,9427,41,1,1,0,1,605,63490,31506,51.2016,25.9095
435,51,748,668,668,23,23,44,37,479,1,198,218,20019,16,42,19,395,2615,43,42,28,194,46,57,11,25,32,1.00094,1065,1065,0,1,1,0,1,10,1052,313,23.9091,14.2273
435,103,1365,1215,1215,71,71,104,60,505,12,396,437,20029,32,100,70,395,2615,151,139,85,422,176,199,37,35.5769,108,1.00344,2657,2161,3,1,1,0,1,35,3594,1485,34.5577,20.9155
435,155,2113,1885,1885,127,127,168,64,545,26,595,658,20037,36,108,82,395,2615,252,243,156,729,347,378,73,43.4524,210,1.00399,4547,3287,6,1,1,0,1,60,6627,3012,39.4464,23.9048
435,207,2924,2580,2580,193,193,244,83,594,38,799,880,20043,41,176,161,395,2615,375,325,240,1027,567,569,120,49.1803,318,1.00777,6521,4320,10,1,1,0,1,95,10254,4729,42.0246,24.8895
435,259,4195,3718,3718,290,290,364,118,651,57,997,1102,20048,49,258,290,395,2615,526,433,353,1643,858,855,182,50,470,1.01393,8523,5328,13,1,1,0,1,145,15180,6864,41.7033,23.7509
435,311,5520,4869,4869,426,426,485,122,727,90,1197,1323,20036,77,302,408,395,2615,728,531,478,2215,1194,1213,267,55.0515,675,1.01951,10484,6325,16,1,1,0,1,210,21751,10150,44.8474,24.1667
435,363,6836,6032,6032,560,560,631,134,830,117,1390,1539,20032,77,302,408,395,2615,925,628,598,2838,1476,1664,362,57.3693,949,1.01931,12380,7261,26,1,1,0,1,280,28707,13408,45.4945,24.0718
435,415,7955,6985,6985,699,699,777,151,935,149,1597,1754,20008,81,413,694,395,2615,1114,693,730,3350,1690,2005,440,56.6281,1155,1.03295,14166,8154,34,1,1,0,1,345,36294,17059,46.7104,24.5453
435,467,8763,7670,7670,825,825,888,117,1040,188,1795,1976,19993,83,420,719,395,2615,1265,777,846,3656,1840,2355,523,58.8964,1357,1.03382,15885,9002,37,1,1,0,1,410,43351,20761,48.8187,25.2567
435,519,9304,8116,8116,935,935,974,78,1120,225,1983,2200,19992,83,420,719,395,2615,1378,855,923,3853,1923,2692,596,61.191,1560,1.03347,17244,9527,38,1,1,0,1,465,48693,23727,49.9928,25.4582
436,51,748,676,676,21,21,42,33,483,0,197,217,20020,12,49,21,406,2573,33,21,18,209,61,57,12,28.5714,36,1.00104,1097,1097,0,1,1,0,1,10,833,174,19.8333,8.28571
436,103,1364,1202,1202,67,67,96,54,515,4,397,437,20036,29,96,60,408,2573,119,79,65,463,231,181,37,38.5417,97,1.00294,2713,2163,4,1,1,0,1,30,3171,1181,33.0312,17.6269
