Run,Time_step,latent_infections,agents_ever_latent,total_latent_cases,agents_ever_active,total_active_cases,total_subclinical_cases,Infectious,Recovered,Dead,Dead_natural,Births,Live_pop,Peak,Peak_time,Peak_total,Initial,HIV,Home,School,Block,Work,Taxi,Tests,Positive,P_Detected,Quarantines,R0,total_x_ray,agents_ever_x_ray,x_ray_refs,Tracing,mass_x_ray,tut,tat,incidence_100k,total_time_infectious,total_time_active,mean_time_infectious,mean_time_active
443,51,737,659,659,19,19,36,27,456,0,196,219,20023,11,50,19,384,2625,28,5,15,254,53,2434,12,33.3333,32,1.00094,1054,1054,0,1,1,1,1,5,724,180,20.1111,10
443,103,1259,1135,1135,56,56,98,44,490,2,397,441,20042,17,76,38,378,2625,100,29,49,522,189,5352,46,46.9388,130,1.00186,2647,2138,1,1,1,1,1,25,2718,829,27.7347,15.3519
443,155,1922,1717,1717,116,116,161,61,531,6,596,658,20056,29,150,114,382,2625,196,72,122,799,363,7935,101,62.7329,277,1.00555,4442,3155,1,1,1,1,1,55,5317,1916,33.0248,16.807
443,207,2728,2428,2428,195,195,227,54,589,20,798,877,20059,40,190,173,382,2625,301,152,176,1153,579,10515,151,66.5198,425,1.00836,6416,4261,1,1,1,1,1,95,8686,3729,38.2643,19.3212
443,259,3607,3185,3185,269,269,315,77,638,35,994,1098,20069,43,249,252,382,2625,428,185,262,1554,810,13028,206,65.3968,550,1.01209,8438,5353,6,1,1,1,1,130,12389,5505,39.3302,20.6955
443,311,4694,4110,4110,369,369,441,112,709,53,1199,1322,20070,49,293,328,382,2625,591,259,367,2022,1086,15663,290,65.7596,766,1.01562,10500,6395,8,1,1,1,1,180,17531,7722,39.7528,21.0984
443,363,5958,5203,5203,504,504,577,127,797,74,1395,1541,20072,77,351,481,382,2625,765,342,511,2575,1403,18358,380,65.8579,1037,1.02284,12470,7341,13,1,1,1,1,250,24116,10994,41.7955,22.0321
443,415,6981,6090,6090,649,649,725,127,909,111,1597,1758,20050,77,351,481,382,2625,928,462,614,3036,1584,21071,497,68.5517,1344,1.02261,14260,8158,20,1,1,1,1,320,30970,14246,42.7172,22.1555
443,467,7731,6710,6710,764,764,815,88,1011,142,1793,1973,20038,77,351,481,382,2625,1066,562,706,3328,1709,23692,578,70.9202,1559,1.02238,15939,8945,25,1,1,1,1,380,36566,17152,44.8663,22.5982
443,519,8336,7209,7209,853,853,918,98,1083,161,1990,2194,20043,77,351,481,382,2625,1183,629,782,3610,1776,26156,641,69.8257,1723,1.02215,17312,9472,30,1,1,1,1,425,41581,19687,45.2952,23.134
444,51,697,630,630,18,18,41,35,413,0,197,223,20026,13,51,18,358,2668,28,18,21,228,45,2448,10,24.3902,23,1.00089,1052,1052,0,1,1,1,1,5,748,154,18.2439,9.05882
444,103,1217,1083,1083,55,55,81,44,441,3,396,446,20047,20,79,41,360,2668,95,72,59,421,215,5308,43,53.0864,112,1.00201,2668,2145,1,1,1,1,1,25,2742,981,33.8519,18.8654
444,155,2092,1872,1872,125,125,154,69,474,12,597,668,20059,46,154,125,359,2668,200,121,122,829,469,7841,82,53.2468,207,1.00608,4489,3192,4,1,1,1,1,60,5898,2348,38.2987,18.9355
444,207,3255,2884,2884,206,206,263,95,528,32,799,887,20056,46,154,125,359,2668,321,196,195,1434,768,10468,149,56.654,386,1.00602,6369,4184,11,1,1,1,1,100,10033,4358,38.1483,21.6816
444,259,4530,3983,3983,327,327,407,133,615,46,997,1113,20070,64,257,324,359,2668,491,281,326,2018,1074,13219,241,59.2138,645,1.01559,8290,5198,15,1,1,1,1,160,16034,7039,39.3956,21.7926
444,311,5910,5186,5186,484,484,573,153,731,74,1191,1330,20065,77,287,415,359,2668,695,415,463,2626,1372,16016,343,59.8604,948,1.01984,10225,6184,20,1,1,1,1,240,23702,10539,41.3647,22.1408
444,363,7102,6204,6204,651,651,729,155,836,107,1392,1553,20054,87,349,605,359,2668,911,541,601,3098,1623,18846,472,64.7462,1282,1.02888,12160,7169,26,1,1,1,1,325,32039,14496,43.9492,22.4744
444,415,8081,7039,7039,786,786,864,129,959,147,1591,1770,20032,87,349,605,359,2668,1070,677,725,3499,1781,21599,579,67.0139,1559,1.02858,13972,8006,32,1,1,1,1,390,39485,18277,45.7002,23.402
444,467,8824,7663,7663,926,926,988,114,1072,175,1792,1987,20020,87,349,605,359,2668,1197,779,827,3781,1910,24262,678,68.6235,1828,1.02829,15765,8889,38,1,1,1,1,460,46224,21650,46.7854,23.6096
444,519,9290,8043,8043,1027,1027,1068,79,1169,204,1988,2202,20010,87,349,605,359,2668,1275,837,911,3956,1974,26813,757,70.8801,2044,1.02801,17177,9415,41,1,1,1,1,510,51382,24396,48.1105,23.9411
445,51,729,650,650,16,16,38,29,463,0,194,222,20028,7,51,16,395,2500,30,18,17,235,34,2292,10,26.3158,38,1.00079,1023,1023,1,1,1,1,1,5,703,138,18.5,9.2
445,103,1298,1158,1158,60,60,96,55,487,5,395,448,20048,24,79,43,391,2500,116,80,77,482,154,5050,41,42.7083,129,1.00211,2570,2059,2,1,1,1,1,30,2910,1082,30.3125,18.0333
445,155,2152,1904,1904,122,122,165,59,544,13,596,670,20061,31,123,94,390,2500,201,158,151,860,397,7513,88,53.3333,275,1.00457,4357,3101,3,1,1,1,1,60,5693,2230,34.503,18.2787
445,207,3199,2826,2826,209,209,256,93,590,20,798,892,20074,48,186,178,390,2500,355,209,232,1348,672,9993,139,54.2969,422,1.00859,6344,4194,5,1,1,1,1,100,9806,4047,38.3047,19.7415
445,259,4302,3793,3793,319,319,385,120,662,44,999,1111,20068,59,259,319,390,2500,541,277,345,1788,972,12450,211,54.8052,592,1.01534,8361,5235,11,1,1,1,1,155,15506,6650,40.2753,21.3141
445,311,5479,4812,4812,435,435,509,126,766,62,1193,1334,20079,67,261,329,390,2500,735,355,466,2282,1260,15020,303,59.5285,844,1.01566,10375,6295,18,1,1,1,1,215,21455,9774,42.1513,22.5207
445,363,6596,5785,5785,573,573,641,135,862,83,1400,1552,20069,71,363,573,390,2500,897,474,583,2757,1507,17602,388,60.5304,1095,1.02731,12390,7304,28,1,1,1,1,285,27925,12951,43.5647,22.8413
445,415,7613,6663,6663,702,702,757,111,966,114,1596,1775,20065,79,389,644,390,2500,1055,588,691,3225,1681,20197,489,64.5971,1380,1.03048,14237,8169,35,1,1,1,1,350,34406,16400,45.4505,23.4621
445,467,8263,7210,7210,804,804,858,98,1053,147,1793,1991,20051,79,389,644,390,2500,1189,622,782,3502,1792,22634,565,65.8508,1571,1.03017,15936,8952,38,1,1,1,1,400,39842,19201,46.4359,24.0012
445,519,8662,7565,7565,889,889,922,65,1122,167,1992,2212,20053,79,389,644,390,2500,1282,654,842,3653,1861,24982,626,67.8959,1740,1.02986,17313,9493,41,1,1,1,1,440,44272,21595,48.0174,24.4287
446,51,807,694,694,17,17,56,51,470,0,195,222,20027,12,43,14,418,2580,42,13,23,264,47,2351,10,17.8571,19,1.00069,1018,1018,0,1,1,1,1,5,1059,200,18.9107,12.5
446,103,1820,1585,1585,104,104,148,87,506,9,395,435,20031,46,97,92,414,2580,174,100,126,694,318,5252,57,38.5135,153,1.00452,2632,2101,2,1,1,1,1,50,4893,1793,33.0608,17.5784
446,155,3254,2855,2855,210,210,281,124,584,24,596,653,20033,59,155,210,416,2580,363,192,257,1337,702,7861,128,45.5516,356,1.01027,4526,3181,4,1,1,1,1,105,10303,4160,36.6655,20.2927
446,207,4977,4350,4350,361,361,445,149,682,60,798,872,20014,74,183,294,416,2580,593,296,407,2151,1134,10611,229,51.4607,659,1.01429,6518,4252,9,1,1,1,1,180,17835,7594,40.0787,21.5127
446,259,6784,5914,5914,543,543,669,202,815,84,994,1094,20016,91,254,532,416,2580,860,358,576,3031,1570,13524,374,55.9043,1046,1.02587,8447,5220,23,1,1,1,1,270,27314,11559,40.8281,21.4453
446,311,8285,7231,7231,777,777,879,202,974,129,1193,1319,19997,127,279,647,416,2580,1149,489,754,3605,1905,16375,530,60.2958,1404,1.0313,10280,6104,30,1,1,1,1,385,38851,17423,44.1991,22.7158
446,363,9276,8088,8088,947,947,1007,123,1146,174,1393,1537,19970,127,279,647,416,2580,1332,646,886,3981,2045,19242,667,66.2363,1802,1.03097,12095,7035,30,1,1,1,1,470,47430,22158,47.1003,23.5223
446,415,9783,8501,8501,1045,1045,1091,82,1259,201,1590,1755,19964,127,279,647,416,2580,1419,761,960,4155,2089,21818,735,67.3694,2015,1.03065,13963,7970,35,1,1,1,1,520,52218,24924,47.8625,23.9654
446,467,10071,8750,8750,1115,1115,1138,53,1317,220,1790,1976,19966,127,279,647,416,2580,1488,845,995,4234,2109,24204,785,68.9807,2167,1.03033,15711,8833,36,1,1,1,1,555,55525,26873,48.7917,24.1881
446,519,10241,8893,8893,1147,1147,1162,25,1351,236,1980,2193,19977,127,279,647,416,2580,1524,900,1028,4264,2126,26390,805,69.2771,2215,1.03003,17124,9402,37,1,1,1,1,570,57624,28242,49.5904,24.7087
447,51,840,735,735,16,16,53,44,502,0,195,220,20025,9,34,9,422,2512,35,29,22,260,72,2315,12,22.6415,38,1.00045,969,969,0,1,1,1,1,5,983,160,18.5472,10.6667
447,103,1712,1509,1509,93,93,141,83,542,3,398,436,20035,38,96,82,419,2512,153,117,94,613,323,5232,62,43.9716,179,1.00403,2476,2006,2,1,1,1,1,45,4290,1401,30.4255,15.3956
447,155,2992,2640,2640,190,190,239,87,612,21,594,657,20042,47,151,182,420,2512,316,178,211,1235,649,7848,137,57.3222,395,1.00889,4174,2954,4,1,1,1,1,95,8722,3499,36.4937,18.9135
447,207,4481,3948,3948,318,318,392,130,705,35,799,879,20045,61,207,318,420,2512,471,234,332,2025,1014,10548,236,60.2041,680,1.01547,6060,4010,10,1,1,1,1,155,14584,5804,37.2041,18.6624
447,259,5887,5169,5169,477,477,556,150,822,53,996,1096,20047,83,256,470,420,2512,666,353,480,2585,1404,13269,347,62.4101,988,1.02279,8012,5039,17,1,1,1,1,235,22059,9450,39.6745,20.1493
