"year","Scenario1","Scenario2","Scenario3","Scenario4","Scenario5"
1,82.015,83.035,82.775,82.32,81.815
2,285.865,282.88,276.205,276.345,277.375
3,397.145,385.805,374.285,363.37,360.655
4,602.275,570.95,550.86,517.065,511.305
5,828.505,776.54,742.49,687.875,675.82
6,964.455,897.81,863.36,796.27,783.03
7,929.26,876.855,854.71,799.095,774.95
8,760.935,732.495,724.56,691.72,672.84
9,538.91,536.815,535.735,527.555,519.45
10,350.219999999999,359.33,366.060000000001,367.88,363.14
